id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways
rxn02201_c0	>	Cytosol	(Annotated_genome.CDS.1852 or Annotated_genome.CDS.1851)	2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase [c0]		-32.19		(1)  cpd00443[c0] + (1)  cpd02920[c0] => (1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd00683[c0]	(1)  ABEE [c0][c0] + (1)  2-Amino-4-hydroxy-6-hydroxymethyl-7-8-dihydropteridinediphosphate [c0][c0] => (1)  PPi [c0][c0] + (1)  H+ [c0][c0] + (1)  Dihydropteroate [c0][c0]	rxn02201	DHPS2	R03067	Folate biosynthesis	ALL-CHORISMATE-PWY|Biosynthesis|Cofactor-Biosynthesis|FOLSYN-PWY|Folate-Biosynthesis|Vitamin-Biosynthesis
rxn00351_c0	>	Cytosol	Annotated_genome.CDS.4583	gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming) [c0]		-6.35		(1)  cpd00002[c0] + (1)  cpd00033[c0] + (1)  cpd00506[c0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00042[c0] + (1)  cpd00067[c0]	(1)  ATP [c0][c0] + (1)  Glycine [c0][c0] + (1)  gamma-Glutamylcysteine [c0][c0] => (1)  ADP [c0][c0] + (1)  Phosphate [c0][c0] + (1)  GSH [c0][c0] + (1)  H+ [c0][c0]	rxn00351	GSH2	R00497	Glutathione metabolism	Biosynthesis|Cofactor-Biosynthesis|GLUTATHIONESYN-PWY|Reductants
rxn07431_c0	=	Cytosol	Annotated_genome.CDS.3606	R07600 [c0]		-2.81		(1)  cpd00213[c0] + (1)  cpd14700[c0] <=> (1)  cpd00056[c0] + (1)  cpd02700[c0]	(1)  Lipoamide [c0][c0] + (1)  2-Methyl-1-hydroxypropyl-TPP [c0][c0] <=> (1)  TPP [c0][c0] + (1)  S-(2-Methylpropionyl) -dihydrolipoamide [c0][c0]	rxn07431		R07600	Valine, leucine and isoleucine degradation	
rxn00836_c0	<	Cytosol	Annotated_genome.CDS.797	IMP:diphosphate phospho-D-ribosyltransferase [c0]		12.54		(1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd00114[c0] <= (1)  cpd00103[c0] + (1)  cpd00226[c0]	(1)  PPi [c0][c0] + (1)  H+ [c0][c0] + (1)  IMP [c0][c0] <= (1)  PRPP [c0][c0] + (1)  HYXN [c0][c0]	rxn00836	HPT1_1	R01132	Purine metabolism	Adenine-Adenosine-Salvage|Biosynthesis|Nucleotide-Biosynthesis|PUR-NUC-SYN|Purine-Nucleotides-Salvage
rxn00423_c0	>	Cytosol	(Annotated_genome.CDS.1370 or Annotated_genome.CDS.2229)	acetyl-CoA:L-serine O-acetyltransferase [c0]		-3.61		(1)  cpd00022[c0] + (1)  cpd00054[c0] => (1)  cpd00010[c0] + (1)  cpd00722[c0]	(1)  Acetyl-CoA [c0][c0] + (1)  L-Serine [c0][c0] => (1)  CoA [c0][c0] + (1)  O-Acetyl-L-serine [c0][c0]	rxn00423	SERAT	R00586	Cysteine and methionine metabolism|Sulfur metabolism	Amino-Acid-Biosynthesis|Biosynthesis|CYSTEINE-SYN|CYSTSYN-PWY|Detoxification|IND-AMINO-ACID-SYN|Other-Amino-Acid-Biosynthesis|Other-biosynthesis|SULFATE-CYS-PWY
rxn00364_c0	=	Cytosol	Annotated_genome.CDS.3941	ATP:CMP phosphotransferase [c0]		9.53		(1)  cpd00002[c0] + (1)  cpd00046[c0] + (1)  cpd00067[c0] <=> (1)  cpd00008[c0] + (1)  cpd00096[c0]	(1)  ATP [c0][c0] + (1)  CMP [c0][c0] + (1)  H+ [c0][c0] <=> (1)  ADP [c0][c0] + (1)  CDP [c0][c0]	rxn00364	CYTK1	R00512	Pyrimidine metabolism	Biosynthesis|Metabolic-Clusters|Nucleotide-Biosynthesis|P1-PWY|PRPP-PWY|PUR-NUC-SYN|PWY0-162|PWY0-163|PYR-NUC-SYN|Purine-Nucleotides-Salvage|Pyrimidine-De-Novo-Biosyn|Pyrimidine-Nucleotide-Salvage
rxn05561_c0	=	Cytosol	(Annotated_genome.CDS.4126 or Annotated_genome.CDS.4119 or Annotated_genome.CDS.3666 or Annotated_genome.CDS.1660)	Transport of dicarboxylates, extracellular [c0]		0		(1)  cpd00067[e0] + (1)  cpd00106[e0] <=> (1)  cpd00067[c0] + (1)  cpd00106[c0]	(1)  H+ [e0][e0] + (1)  Fumarate [e0][e0] <=> (1)  H+ [c0][c0] + (1)  Fumarate [c0][c0]	rxn05561	FUMt2r			
rxn03408_c0	=	Cytosol	Annotated_genome.CDS.714	UDP-N-acetyl-D-glucosamine:undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine 4-beta-N-acetylglucosaminlytransferase [c0]		-1.7		(1)  cpd00037[c0] + (1)  cpd03494[c0] <=> (1)  cpd00014[c0] + (1)  cpd03495[c0]	(1)  UDP-N-acetylglucosamine [c0][c0] + (1)  Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine [c0][c0] <=> (1)  UDP [c0][c0] + (1)  Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala [c0][c0]	rxn03408		R05032	Peptidoglycan biosynthesis	
rxn02177_c0	>	Cytosol	Annotated_genome.CDS.104	Isochorismate pyruvate-hydrolase [c0]		-12.22		(1)  cpd00001[c0] + (1)  cpd00658[c0] => (1)  cpd00020[c0] + (1)  cpd02566[c0]	(1)  H2O [c0][c0] + (1)  Isochorismate [c0][c0] => (1)  Pyruvate [c0][c0] + (1)  2,3-Dihydroxy-2,3-dihydrobenzoate [c0][c0]	rxn02177		R03037	Biosynthesis of siderophore group nonribosomal peptides	ALL-CHORISMATE-PWY|AROMATIC-COMPOUNDS-BIOSYN|Biosynthesis|ENTBACSYN-PWY|Siderophores-Biosynthesis
rxn05250_c0	>	Cytosol	(Annotated_genome.CDS.1457 or Annotated_genome.CDS.4324 or Annotated_genome.CDS.2788 or Annotated_genome.CDS.4283 or Annotated_genome.CDS.3597 or Annotated_genome.CDS.4051 or Annotated_genome.CDS.3649 or Annotated_genome.CDS.3488 or Annotated_genome.CDS.4284 or Annotated_genome.CDS.962 or Annotated_genome.CDS.1662 or Annotated_genome.CDS.4316 or Annotated_genome.CDS.1459 or Annotated_genome.CDS.1598 or Annotated_genome.CDS.4258 or Annotated_genome.CDS.2390 or Annotated_genome.CDS.445 or Annotated_genome.CDS.2201 or Annotated_genome.CDS.1641)	FACOAL160(ISO) [c0]		-4.296		(1)  cpd00002[c0] + (1)  cpd00010[c0] + (1)  cpd11440[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  cpd11441[c0]	(1)  ATP [c0][c0] + (1)  CoA [c0][c0] + (1)  fa6 [c0][c0] => (1)  PPi [c0][c0] + (1)  AMP [c0][c0] + (1)  fa6coa [c0][c0]	rxn05250				
