EC=2.4.1.213 EC=2.4.1.15,2.4.1.347
EC=3.6.3.20 nan
EC=3.6.3.36 nan
EC=3.6.3.17 nan
EC=1.3.1.86 EC=1.1.1.1,1.3.1.85
EC=1.1.1.35 nan
EC=3.6.3.42 nan
EC=1.1.1.100 nan
EC=3.6.3.25 nan
EC=3.6.3.28 nan
EC=2.7.13.3 nan
EC=1.2.1.3 nan
EC=6.2.1.3 EC=6.2.1.1
EC=6.2.1.3 EC=6.2.1.1
EC=3.1.2.6 nan
EC=1.1.2.7 EC=1.1.2.8
EC=2.7.13.3 nan
EC=2.7.4.27 EC=2.7.11.33,2.7.4.28
EC=2.7.4.27 EC=2.7.11.33,2.7.4.28
EC=1.1.1.100 EC=1.1.1.401
EC=3.6.3.24 EC=
EC=3.6.4.12 nan
EC=2.7.13.3 nan
EC=1.6.5.3 nan
EC=2.7.13.3 nan
EC=2.7.13.3 nan
EC=1.1.1.25 nan
EC=3.2.1.17 nan
EC=3.6.3.28 EC=2.7.8.37
EC=3.6.3.41 nan
EC=3.6.4.3 nan
EC=3.6.3.4 EC=3.6.3.54
EC=1.3.1.42 nan
EC=1.11.1.15 nan
EC=2.7.7.71 EC=2.7.7.13,2.7.7.99
EC=3.6.4.12 nan
EC=1.3.8.1 EC=1.3.8.7
EC=1.1.1.100 nan
EC=2.7.13.3 nan
EC=3.6.3.27 nan
EC=3.6.3.27 nan
EC=3.6.3.31 nan
EC=6.2.1.3 EC=6.2.1.44,6.2.1.48
EC=3.6.3.27 nan
EC=3.6.3.27 nan
EC=2.3.1.9 EC=2.3.1.16
EC=6.2.1.3 nan
EC=1.1.1.69 nan
EC=3.6.3.28 EC=3.6.3.21
EC=2.1.1.197 nan
EC=2.7.13.3 nan
EC=3.6.3.28 nan
EC=1.11.1.15 nan
EC=3.6.5.n1 nan
EC=6.1.1.23 EC=6.1.1.12
EC=2.7.4.9 EC=2.7.4.1
EC=6.1.1.17 nan
EC=2.1.1.86 nan
EC=3.2.1.4 nan
EC=3.6.3.36 nan
EC=2.3.1.8 EC=2.3.1.19
EC=1.14.13.22 nan
EC=3.6.3.31 nan
EC=2.7.13.3 nan
EC=6.2.1.3 EC=6.2.1.44
EC=3.6.3.24 nan
EC=3.6.3.24 nan
EC=3.6.3.17 nan
EC=1.3.8.1 EC=1.3.8.7
EC=4.2.1.17 nan
EC=3.6.3.28 nan
EC=1.1.1.100 nan
EC=3.6.3.17 nan
EC=3.6.3.17 nan
EC=3.6.3.28 nan
EC=3.6.3.36 nan
EC=3.6.4.12 nan
EC=1.1.1.100 nan
EC=6.2.1.3 nan
EC=1.4.99.6 EC=1.4.5.1
EC=2.3.1.n3 EC=2.3.1.15
EC=3.6.1.3 nan
EC=3.1.2.6 nan
EC=2.7.13.3 nan
EC=1.6.5.11 nan
EC=5.99.1.3 nan
EC=2.6.1.83 nan
EC=3.5.1.2 EC=6.3.5.3
EC=3.5.1.2 EC=6.3.5.3
EC=1.6.5.11 EC=1.6.5.3
EC=1.6.5.11 EC=1.6.5.3
EC=1.6.5.11 EC=1.6.5.3
EC=1.6.5.11 EC=1.6.5.3
EC=1.6.5.11 EC=1.6.5.3
EC=1.6.5.11 EC=1.6.5.3
EC=1.6.5.11 EC=1.6.5.3,1.6.99.3
EC=1.6.5.11 EC=1.6.5.3
EC=1.6.5.11 EC=1.6.5.3
EC=1.9.3.1 nan
EC=3.6.3.28 nan
EC=3.6.1.8 EC=3.6.1.9
EC=2.3.1.n2 EC=2.3.1.15
EC=3.6.4.12 nan
EC=5.99.1.3 nan
EC=2.3.2.8 EC=2.3.2.29
EC=3.6.3.29 EC=3.6.3.30
EC=2.3.3.16 EC=2.3.3.1
EC=6.3.2.2 nan
EC=6.2.1.3 EC=6.2.1.1
EC=3.6.4.12 nan
EC=5.2.1.8 nan
EC=5.1.99.6 nan
EC=3.6.3.36 nan
EC=3.6.3.28 nan
EC=2.3.1.9 EC=2.3.1.16
EC=3.5.1.4 EC=3.5.1.84,6.3.5.6,6.3.5.7
EC=4.2.1.17 nan
EC=3.6.3.36 nan
EC=1.17.5.2 EC=1.2.5.3
EC=1.1.1.100 EC=1.1.1.69
EC=2.7.13.3 nan
EC=3.6.3.20 nan
