pi_flux(mmol/gdw/h),Growth Rate(h-1),pi_rate(g/l/h)
0.014,0.044019216,0.032229019
0.01399,0.043987773,0.032205998
0.01398,0.043956331,0.032182978
0.01397,0.043924889,0.032159957
0.01396,0.043893447,0.032136936
0.01395,0.043862004,0.032113916
0.01394,0.043830562,0.032090895
0.01393,0.04379912,0.032067874
0.01392,0.043767677,0.032044853
0.01391,0.043736235,0.032021833
0.0139,0.043704793,0.031998812
0.01389,0.043673351,0.031975791
0.01388,0.043641908,0.03195277
0.01387,0.043610466,0.03192975
0.01386,0.043579024,0.031906729
0.01385,0.043547581,0.031883708
0.01384,0.043516139,0.031860688
0.01383,0.043484697,0.031837667
0.01382,0.043453254,0.031814646
0.01381,0.043421812,0.031791625
0.0138,0.04339037,0.031768605
0.01379,0.043358928,0.031745584
0.01378,0.043327485,0.031722563
0.01377,0.043296043,0.031699542
0.01376,0.043264601,0.031676522
0.01375,0.043233158,0.031653501
0.01374,0.043201716,0.03163048
0.01373,0.043170274,0.03160746
0.01372,0.043138831,0.031584439
0.01371,0.043107389,0.031561418
0.0137,0.043075947,0.031538397
0.01369,0.043044505,0.031515377
0.01368,0.043013062,0.031492356
0.01367,0.04298162,0.031469335
0.01366,0.042950178,0.031446314
0.01365,0.042918735,0.031423294
0.01364,0.042887293,0.031400273
0.01363,0.042855851,0.031377252
0.01362,0.042824409,0.031354232
0.01361,0.042792966,0.031331211
0.0136,0.042761524,0.03130819
0.01359,0.042730082,0.031285169
0.01358,0.042698639,0.031262149
0.01357,0.042667197,0.031239128
0.01356,0.042635755,0.031216107
0.01355,0.042604312,0.031193086
0.01354,0.04257287,0.031170066
0.01353,0.042541428,0.031147045
0.01352,0.042509986,0.031124024
0.01351,0.042478543,0.031101004
0.0135,0.042447101,0.031077983
0.01349,0.042415659,0.031054962
0.01348,0.042384216,0.031031941
0.01347,0.042352774,0.031008921
0.01346,0.042321332,0.0309859
0.01345,0.042289889,0.030962879
0.01344,0.042258447,0.030939858
0.01343,0.042227005,0.030916838
0.01342,0.042195563,0.030893817
0.01341,0.04216412,0.030870796
0.0134,0.042132678,0.030847776
0.01339,0.042101236,0.030824755
0.01338,0.042069793,0.030801734
0.01337,0.042038351,0.030778713
0.01336,0.042006909,0.030755693
0.01335,0.041975466,0.030732672
0.01334,0.041944024,0.030709651
0.01333,0.041912582,0.03068663
0.01332,0.04188114,0.03066361
0.01331,0.041849697,0.030640589
0.0133,0.041818255,0.030617568
0.01329,0.041786813,0.030594548
0.01328,0.04175537,0.030571527
0.01327,0.041723928,0.030548506
0.01326,0.041692486,0.030525485
0.01325,0.041661044,0.030502465
0.01324,0.041629601,0.030479444
0.01323,0.041598159,0.030456423
0.01322,0.041566717,0.030433402
0.01321,0.041535274,0.030410382
0.0132,0.041503832,0.030387361
0.01319,0.04147239,0.03036434
0.01318,0.041440947,0.03034132
0.01317,0.041409505,0.030318299
0.01316,0.041378063,0.030295278
0.01315,0.041346621,0.030272257
0.01314,0.041315178,0.030249237
0.01313,0.041283736,0.030226216
0.01312,0.041252294,0.030203195
0.01311,0.041220851,0.030180174
0.0131,0.041189409,0.030157154
0.01309,0.041157967,0.030134133
0.01308,0.041126524,0.030111112
0.01307,0.041095082,0.030088091
0.01306,0.04106364,0.030065071
0.01305,0.041032198,0.03004205
0.01304,0.041000755,0.030019029
0.01303,0.040969313,0.029996009
0.01302,0.040937871,0.029972988
0.01301,0.040906428,0.029949967
0.013,0.040874986,0.029926946
0.01299,0.040843544,0.029903926
0.01298,0.040812101,0.029880905
0.01297,0.040780659,0.029857884
0.01296,0.040749217,0.029834863
0.01295,0.040717775,0.029811843
0.01294,0.040686332,0.029788822
0.01293,0.04065489,0.029765801
0.01292,0.040623448,0.029742781
0.01291,0.040592005,0.02971976
0.0129,0.040560563,0.029696739
0.01289,0.040529121,0.029673718
0.01288,0.040497679,0.029650698
0.01287,0.040466236,0.029627677
0.01286,0.040434794,0.029604656
0.01285,0.040403352,0.029581635
0.01284,0.040371909,0.029558615
0.01283,0.040340467,0.029535594
0.01282,0.040309025,0.029512573
0.01281,0.040277582,0.029489553
0.0128,0.04024614,0.029466532
0.01279,0.040214698,0.029443511
0.01278,0.040183256,0.02942049
0.01277,0.040151813,0.02939747
0.01276,0.040120371,0.029374449
0.01275,0.040088929,0.029351428
0.01274,0.040057486,0.029328407
0.01273,0.040026044,0.029305387
0.01272,0.039994602,0.029282366
0.01271,0.039963159,0.029259345
0.0127,0.039931717,0.029236325
0.01269,0.039900275,0.029213304
0.01268,0.039868833,0.029190283
0.01267,0.03983739,0.029167262
0.01266,0.039805948,0.029144242
0.01265,0.039774506,0.029121221
0.01264,0.039743063,0.0290982
0.01263,0.039711621,0.029075179
0.01262,0.039680179,0.029052159
0.01261,0.039648737,0.029029138
0.0126,0.039617294,0.029006117
0.01259,0.039585852,0.028983097
0.01258,0.03955441,0.028960076
0.01257,0.039522967,0.028937055
0.01256,0.039491525,0.028914034
0.01255,0.039460083,0.028891014
0.01254,0.03942864,0.028867993
0.01253,0.039397198,0.028844972
0.01252,0.039365756,0.028821951
0.01251,0.039334314,0.028798931
0.0125,0.039302871,0.02877591
0.01249,0.039271429,0.028752889
0.01248,0.039239987,0.028729869
0.01247,0.039208544,0.028706848
0.01246,0.039177102,0.028683827
0.01245,0.03914566,0.028660806
0.01244,0.039114217,0.028637786
0.01243,0.039082775,0.028614765
0.01242,0.039051333,0.028591744
0.01241,0.039019891,0.028568723
0.0124,0.038988448,0.028545703
0.01239,0.038957006,0.028522682
0.01238,0.038925564,0.028499661
0.01237,0.038894121,0.028476641
0.01236,0.038862679,0.02845362
0.01235,0.038831237,0.028430599
0.01234,0.038799794,0.028407578
0.01233,0.038768352,0.028384558
0.01232,0.03873691,0.028361537
0.01231,0.038705468,0.028338516
0.0123,0.038674025,0.028315495
0.01229,0.038642583,0.028292475
0.01228,0.038611141,0.028269454
0.01227,0.038579698,0.028246433
0.01226,0.038548256,0.028223413
0.01225,0.038516814,0.028200392
0.01224,0.038485372,0.028177371
0.01223,0.038453929,0.02815435
0.01222,0.038422487,0.02813133
0.01221,0.038391045,0.028108309
0.0122,0.038359602,0.028085288
0.01219,0.03832816,0.028062267
0.01218,0.038296718,0.028039247
0.01217,0.038265275,0.028016226
0.01216,0.038233833,0.027993205
0.01215,0.038202391,0.027970185
0.01214,0.038170949,0.027947164
0.01213,0.038139506,0.027924143
0.01212,0.038108064,0.027901122
0.01211,0.038076622,0.027878102
0.0121,0.038045179,0.027855081
0.01209,0.038013737,0.02783206
0.01208,0.037982295,0.027809039
0.01207,0.037950852,0.027786019
0.01206,0.03791941,0.027762998
0.01205,0.037887968,0.027739977
0.01204,0.037856526,0.027716957
0.01203,0.037825083,0.027693936
0.01202,0.037793641,0.027670915
0.01201,0.037762199,0.027647894
0.012,0.037730756,0.027624874
0.01199,0.037699314,0.027601853
0.01198,0.037667872,0.027578832
0.01197,0.037636429,0.027555811
0.01196,0.037604987,0.027532791
0.01195,0.037573545,0.02750977
0.01194,0.037542103,0.027486749
0.01193,0.03751066,0.027463729
0.01192,0.037479218,0.027440708
0.01191,0.037447776,0.027417687
0.0119,0.037416333,0.027394666
0.01189,0.037384891,0.027371646
0.01188,0.037353449,0.027348625
0.01187,0.037322007,0.027325604
0.01186,0.037290564,0.027302583
0.01185,0.037259122,0.027279563
0.01184,0.03722768,0.027256542
0.01183,0.037196237,0.027233521
0.01182,0.037164795,0.0272105
0.01181,0.037133353,0.02718748
0.0118,0.03710191,0.027164459
0.01179,0.037070468,0.027141438
0.01178,0.037039026,0.027118418
0.01177,0.037007584,0.027095397
0.01176,0.036976141,0.027072376
0.01175,0.036944699,0.027049355
0.01174,0.036913257,0.027026335
0.01173,0.036881814,0.027003314
0.01172,0.036850372,0.026980293
