Reaction Name,Reaction ID,Flux Value
EX_ca2_e,EX_ca2_e,-0.00013657826373459072
EX_cl_e,EX_cl_e,-0.00013657826373459072
EX_co2_e,EX_co2_e,-1.3174099583355152
EX_cobalt2_e,EX_cobalt2_e,-6.619301958057717e-07
EX_cu2_e,EX_cu2_e,-0.00018600238502142167
EX_fe2_e,EX_fe2_e,-0.00039950245359360786
EX_h2_e,EX_h2_e,-19.42
EX_h2o_e,EX_h2o_e,20.048625892603663
EX_k_e,EX_k_e,-0.0051214090857989005
EX_mg2_e,EX_mg2_e,-0.00022762124608270945
EX_mn2_e,EX_mn2_e,-1.814791953500822e-05
EX_mobd_e,EX_mobd_e,-1.9306297377586973e-07
EX_nh4_e,EX_nh4_e,-0.2412586587500089
EX_o2_e,EX_o2_e,-9.0
EX_pi_e,EX_pi_e,-0.008771758892956377
EX_so4_e,EX_so4_e,-0.005110875151437196
EX_zn2_e,EX_zn2_e,-8.936057643377908e-06
R Propane 1 2 diol dehydratase,12PPDRDH,-1.1131797519221336e-18
2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm),2AGPG160tipp,1.4998637455493236
2-dehydropantoate formaldehyde-lyase (3-methyl-2-oxobutanoate-forming),2DHPFALDL,3.0626642879715934e-22
3 Hydroxyacyl ACPCoA Transacylase,3HAACOAT140,-0.002162808553996742
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0),3HAD140,1.638957239723245e-05
4 hydroxy benzyl alcohol dehydrogenase,4HBADH,6.513236106779166e-06
4 (Phosphooxy pentanoyl CoA mutase,4POPCOAM2,6.830794519148486e-18
4 (Phosphooxy pentanoyl CoA mutase,4POPCOAM3,6.830794519148486e-18
Arabinose-5-phosphate isomerase,A5PISO,0.0010732094907997564
Acyl-[acyl-carrier-protein] synthetase  (n-C16:0),AACPS3,1.5266239787522786
Acyl-[acyl-carrier-protein] synthetase  (n-C18:1),AACPS5,0.0011067472873872487
,AACT,-0.0981390660566193
L-aminoadipate-semialdehyde dehydrogenase (NADH),AASAD3,0.09813906605661929
2 aminoadipate transaminase,AATA,-0.0981390660566193
Acetyl-CoA C-acetyltransferase,ACACT1r,0.01803892027176904
Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r),ACACT2r,0.018038920271769038
Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r),ACACT3r,0.018038920271769038
Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r),ACACT4r,0.018038920271769038
Acetyl-CoA C-acyltransferase (decanoyl-CoA) (r),ACACT5r,0.018038920271769038
Acetyl-CoA C-acyltransferase (dodecanoyl-CoA) (r),ACACT6r,0.018038920271769048
Acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r),ACACT7r,0.015876111717772305
"Acetyl-CoA acyltransferase (hexadecanoyl-CoA), (r)",ACACT8r,-0.005117488632149718
