Reaction Name,Reaction ID,Flux Value
EX_ca2_e,EX_ca2_e,-0.00022023413900860013
EX_cl_e,EX_cl_e,-0.0002202341390086001
EX_co2_e,EX_co2_e,-2.1243398470728723
EX_cobalt2_e,EX_cobalt2_e,-1.0673706252436192e-06
EX_cu2_e,EX_cu2_e,-0.0002999311456934571
EX_fe2_e,EX_fe2_e,-0.000644202646110576
EX_h2_e,EX_h2_e,-19.4
EX_h2o_e,EX_h2o_e,18.130568474678764
EX_k_e,EX_k_e,-0.008258335475061987
EX_mg2_e,EX_mg2_e,-0.00036704207375564963
EX_mn2_e,EX_mn2_e,-2.9263744642095897e-05
EX_mobd_e,EX_mobd_e,-3.113164323627223e-07
EX_nh4_e,EX_nh4_e,-0.3890325703030335
EX_o2_e,EX_o2_e,-7.413566946200106
EX_pi_e,EX_pi_e,-0.014144569674427676
EX_so4_e,EX_so4_e,-0.008241349375668785
EX_zn2_e,EX_zn2_e,-1.4409503440788863e-05
2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm),2AGPG160tipp,0.16156587568363842
3-Aminopropanoate 2-oxoglutarate aminotransferase,3A2OA,-2.9445811213830823e-05
3 Hydroxyacyl ACPCoA Transacylase,3HAACOAT140,-0.003487555535519405
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0),3HAD140,2.642838806276163e-05
4 hydroxy benzyl alcohol dehydrogenase,4HBADH,1.0502673755786961e-05
Arabinose-5-phosphate isomerase,A5PISO,0.0017305635737283216
Acyl-[acyl-carrier-protein] synthetase  (n-C16:0),AACPS3,0.17860149200886966
Acyl-[acyl-carrier-protein] synthetase  (n-C18:1),AACPS5,0.0017846436854073312
,AACT,-0.15825045746724636
L-aminoadipate-semialdehyde dehydrogenase (NADH),AASAD3,0.15825045746724634
2 aminoadipate transaminase,AATA,-0.15825045746724636
Acetyl-CoA C-acetyltransferase,ACACT1r,0.029087981982391754
Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r),ACACT2r,0.029087981982391764
Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r),ACACT3r,0.029087981982387594
