,carbon_source,flux_minimum,carbon_yield_minimum,mass_yield_minimum,flux_maximum,carbon_yield_maximum,mass_yield_maximum,EX_co2_e,EX_o2_e
0,EX_co2_e,,,,,,,-2.4934482758620686,-12.06845372719948
1,EX_co2_e,,,,,,,-2.4934482758620686,-11.71221932050477
2,EX_co2_e,,,,,,,-2.4934482758620686,-11.35598491381006
3,EX_co2_e,,,,,,,-2.4934482758620686,-10.999750507115351
4,EX_co2_e,,,,,,,-2.4934482758620686,-10.64351610042064
5,EX_co2_e,,,,,,,-2.4934482758620686,-10.287281693725932
6,EX_co2_e,,,,,,,-2.4934482758620686,-9.931047287031223
7,EX_co2_e,,,,,,,-2.4934482758620686,-9.574812880336513
8,EX_co2_e,,,,,,,-2.4934482758620686,-9.218578473641802
9,EX_co2_e,,,,,,,-2.4934482758620686,-8.862344066947093
10,EX_co2_e,,,,,,,-2.4934482758620686,-8.506109660252385
11,EX_co2_e,,,,,,,-2.4934482758620686,-8.149875253557674
12,EX_co2_e,,,,,,,-2.4934482758620686,-7.793640846862965
13,EX_co2_e,,,,,,,-2.4934482758620686,-7.437406440168256
14,EX_co2_e,,,,,,,-2.4934482758620686,-7.081172033473546
15,EX_co2_e,,,,,,,-2.4934482758620686,-6.7249376267788366
16,EX_co2_e,,,,,,,-2.4934482758620686,-6.368703220084127
17,EX_co2_e,,,,,,,-2.4934482758620686,-6.012468813389417
18,EX_co2_e,,,,,,,-2.4934482758620686,-5.656234406694708
19,EX_co2_e,,,,,,,-2.4934482758620686,-5.299999999999998
20,EX_co2_e,,,,,,,-2.3622141560798546,-12.06845372719948
21,EX_co2_e,,,,,,,-2.3622141560798546,-11.71221932050477
22,EX_co2_e,,,,,,,-2.3622141560798546,-11.35598491381006
23,EX_co2_e,,,,,,,-2.3622141560798546,-10.999750507115351
24,EX_co2_e,,,,,,,-2.3622141560798546,-10.64351610042064
25,EX_co2_e,,,,,,,-2.3622141560798546,-10.287281693725932
26,EX_co2_e,,,,,,,-2.3622141560798546,-9.931047287031223
27,EX_co2_e,,,,,,,-2.3622141560798546,-9.574812880336513
28,EX_co2_e,,,,,,,-2.3622141560798546,-9.218578473641802
29,EX_co2_e,,,,,,,-2.3622141560798546,-8.862344066947093
30,EX_co2_e,,,,,,,-2.3622141560798546,-8.506109660252385
31,EX_co2_e,,,,,,,-2.3622141560798546,-8.149875253557674
32,EX_co2_e,0.0,0.0,,0.014366626704913807,7.32902861328594,,-2.3622141560798546,-7.793640846862965
33,EX_co2_e,0.0,0.0,,0.006931779415433939,3.536196124545064,,-2.3622141560798546,-7.437406440168256
34,EX_co2_e,,,,,,,-2.3622141560798546,-7.081172033473546
35,EX_co2_e,,,,,,,-2.3622141560798546,-6.7249376267788366
36,EX_co2_e,,,,,,,-2.3622141560798546,-6.368703220084127
37,EX_co2_e,,,,,,,-2.3622141560798546,-6.012468813389417
38,EX_co2_e,,,,,,,-2.3622141560798546,-5.656234406694708
