,carbon_source,flux_minimum,carbon_yield_minimum,mass_yield_minimum,flux_maximum,carbon_yield_maximum,mass_yield_maximum,EX_h2_e,EX_o2_e
0,EX_co2_e,0.0,,,0.0,46.38882541715555,,-20.93,-12.068453727199467
1,EX_co2_e,0.0,,,0.004313119259956313,25.228468479608015,,-20.93,-11.712219320504758
2,EX_co2_e,0.0,,,0.008626238519909752,25.22846847959757,,-20.93,-11.35598491381005
3,EX_co2_e,0.0,,,0.012939357779865502,25.228468479599858,,-20.93,-10.99975050711534
4,EX_co2_e,0.0,,,0.01725247703982043,25.2284684795993,,-20.93,-10.643516100420632
5,EX_co2_e,0.0,0.0,,0.021548695967723595,25.22846847960172,,-20.93,-10.287281693725923
6,EX_co2_e,0.0,0.0,,0.025791151372449174,25.228468479604157,,-20.93,-9.931047287031213
7,EX_co2_e,0.0,0.0,,0.030017552436712638,25.22846847960508,,-20.93,-9.574812880336504
8,EX_co2_e,0.0,9.090115288140562e-13,,0.03385974295575339,25.228468479605237,,-20.93,-9.218578473641795
9,EX_co2_e,0.0,0.0,,0.03738545095976307,25.228468479604754,,-20.93,-8.862344066947086
10,EX_co2_e,0.0,0.0,,0.04091115896377353,25.22846847960496,,-20.93,-8.506109660252378
11,EX_co2_e,0.0,0.0,,0.04124121302914163,23.51623741914022,,-20.93,-8.149875253557669
12,EX_co2_e,0.0,0.0,,0.02648730462174717,14.319339417677051,,-20.93,-7.79364084686296
13,EX_co2_e,0.0,0.0,,0.006937943213930058,3.6395295204246505,,-20.93,-7.437406440168251
14,EX_co2_e,,,,,,,-20.93,-7.081172033473542
15,EX_co2_e,,,,,,,-20.93,-6.724937626778833
16,EX_co2_e,,,,,,,-20.93,-6.368703220084124
17,EX_co2_e,,,,,,,-20.93,-6.0124688133894155
18,EX_co2_e,,,,,,,-20.93,-5.656234406694707
19,EX_co2_e,,,,,,,-20.93,-5.299999999999998
20,EX_co2_e,,,,,,,-20.386315789473684,-12.068453727199467
21,EX_co2_e,0.0,0.0,,0.0007250669326939965,25.228468479508965,,-20.386315789473684,-11.712219320504758
22,EX_co2_e,0.0,,,0.005038185979216547,25.228468479608047,,-20.386315789473684,-11.35598491381005
23,EX_co2_e,0.0,,,0.009351305247339181,25.228468479610548,,-20.386315789473684,-10.99975050711534
24,EX_co2_e,0.0,34.10363075948408,,0.013654065202173235,25.228468479608274,,-20.386315789473684,-10.643516100420632
25,EX_co2_e,0.0,2.770154451456549,,0.017923789849795254,25.22846847960364,,-20.386315789473684,-10.287281693725923
26,EX_co2_e,0.0,1.1671197563262328e-27,,0.022150190914058836,25.22846847960513,,-20.386315789473684,-9.931047287031213
27,EX_co2_e,0.0,0.0,,0.026376591978321148,25.228468479604317,,-20.386315789473684,-9.574812880336504
28,EX_co2_e,0.0,8.166147493780109e-13,,0.030036451850496904,25.228468479604835,,-20.386315789473684,-9.218578473641795
29,EX_co2_e,0.0,0.0,,0.03356215985450421,25.22846847960183,,-20.386315789473684,-8.862344066947086
30,EX_co2_e,0.0,0.0,,0.0370878678585164,25.2284684796041,,-20.386315789473684,-8.506109660252378
31,EX_co2_e,0.0,0.0,,0.04061357586252539,25.228468479603112,,-20.386315789473684,-8.149875253557669
32,EX_co2_e,0.0,0.0,,0.03052888642331343,17.780110726254176,,-20.386315789473684,-7.79364084686296
33,EX_co2_e,0.0,3.426099532460668e-14,,0.0129808810543907,7.251768419523069,,-20.386315789473684,-7.437406440168251
34,EX_co2_e,,,,,,,-20.386315789473684,-7.081172033473542
35,EX_co2_e,,,,,,,-20.386315789473684,-6.724937626778833
36,EX_co2_e,,,,,,,-20.386315789473684,-6.368703220084124
37,EX_co2_e,,,,,,,-20.386315789473684,-6.0124688133894155
38,EX_co2_e,,,,,,,-20.386315789473684,-5.656234406694707
39,EX_co2_e,,,,,,,-20.386315789473684,-5.299999999999998
40,EX_co2_e,,,,,,,-19.84263157894737,-12.068453727199467
41,EX_co2_e,,,,,,,-19.84263157894737,-11.712219320504758
42,EX_co2_e,0.0,,,0.0014501338196241708,25.228468479584745,,-19.84263157894737,-11.35598491381005
43,EX_co2_e,0.0,0.0,,0.005759434436617424,25.228468479599897,,-19.84263157894737,-10.99975050711534
44,EX_co2_e,0.0,2.019195462960774e-13,,0.010049605016342953,25.228468479609283,,-19.84263157894737,-10.643516100420632
45,EX_co2_e,0.0,78.10498795486805,,0.014282829391404931,25.228468479604558,,-19.84263157894737,-10.287281693725923
46,EX_co2_e,0.0,19.057335295295267,,0.01850923045566808,25.228468479604995,,-19.84263157894737,-9.931047287031213
47,EX_co2_e,0.0,0.0,,0.022687452741230987,25.228468479605112,,-19.84263157894737,-9.574812880336504
48,EX_co2_e,0.0,0.0,,0.026213160745240396,25.228468479604015,,-19.84263157894737,-9.218578473641795
49,EX_co2_e,0.0,2.6201242603714408e-15,,0.02973886874925062,25.228468479604185,,-19.84263157894737,-8.862344066947086
50,EX_co2_e,0.0,0.0,,0.03326457675326048,25.22846847960394,,-19.84263157894737,-8.506109660252378
51,EX_co2_e,0.0,0.0,,0.03679028475727136,25.22846847960471,,-19.84263157894737,-8.149875253557669
52,EX_co2_e,0.0,0.0,,0.03457046822490748,21.82077301439394,,-19.84263157894737,-7.79364084686296
53,EX_co2_e,0.0,0.0,,0.01902381889484932,11.365750193486235,,-19.84263157894737,-7.437406440168251
54,EX_co2_e,,,,,,,-19.84263157894737,-7.081172033473542
55,EX_co2_e,,,,,,,-19.84263157894737,-6.724937626778833
56,EX_co2_e,,,,,,,-19.84263157894737,-6.368703220084124
57,EX_co2_e,,,,,,,-19.84263157894737,-6.0124688133894155
58,EX_co2_e,,,,,,,-19.84263157894737,-5.656234406694707
59,EX_co2_e,,,,,,,-19.84263157894737,-5.299999999999998
60,EX_co2_e,,,,,,,-19.29894736842105,-12.068453727199467
61,EX_co2_e,,,,,,,-19.29894736842105,-11.712219320504758
62,EX_co2_e,,,,,,,-19.29894736842105,-11.35598491381005
63,EX_co2_e,0.0,,,0.0021549747660234357,25.228468479593378,,-19.29894736842105,-10.99975050711534
64,EX_co2_e,0.0,,,0.006415467878940467,25.228468479607507,,-19.29894736842105,-10.643516100420632
65,EX_co2_e,0.0,483.5841674388148,,0.010641868949913867,25.228468479601528,,-19.29894736842105,-10.287281693725923
66,EX_co2_e,0.0,1.779789676172585e-14,,0.014868269997277346,25.228468479605255,,-19.29894736842105,-9.931047287031213
67,EX_co2_e,0.0,1.2327426792102296e-27,,0.018864161635974885,25.22846847960503,,-19.29894736842105,-9.574812880336504
68,EX_co2_e,0.0,0.0,,0.02238986963998604,25.228468479606708,,-19.29894736842105,-9.218578473641795
69,EX_co2_e,0.0,1.0502807179882658e-25,,0.025915577643993905,25.228468479603162,,-19.29894736842105,-8.862344066947086
70,EX_co2_e,0.0,0.0,,0.029441285648005504,25.22846847960515,,-19.29894736842105,-8.506109660252378
71,EX_co2_e,0.0,0.0,,0.03296699365201549,25.228468479604977,,-19.29894736842105,-8.149875253557669
72,EX_co2_e,0.0,1.3242484568171778e-26,,0.036492701656026076,25.2284684796054,,-19.29894736842105,-7.79364084686296
73,EX_co2_e,0.0,0.0,,0.023858141619087857,15.416392130001078,,-19.29894736842105,-7.437406440168251
74,EX_co2_e,0.0,4.003988150316798e-14,,0.004774463038204606,2.969310766702937,,-19.29894736842105,-7.081172033473542
75,EX_co2_e,,,,,,,-19.29894736842105,-6.724937626778833
76,EX_co2_e,,,,,,,-19.29894736842105,-6.368703220084124
77,EX_co2_e,,,,,,,-19.29894736842105,-6.0124688133894155
78,EX_co2_e,,,,,,,-19.29894736842105,-5.656234406694707
79,EX_co2_e,,,,,,,-19.29894736842105,-5.299999999999998
80,EX_co2_e,,,,,,,-18.755263157894735,-12.068453727199467
81,EX_co2_e,,,,,,,-18.755263157894735,-11.712219320504758
82,EX_co2_e,,,,,,,-18.755263157894735,-11.35598491381005
83,EX_co2_e,,,,,,,-18.755263157894735,-10.99975050711534
84,EX_co2_e,0.0,106.42094608193942,,0.002774507414765696,25.228468479589694,,-18.755263157894735,-10.643516100420632
85,EX_co2_e,0.0,0.0,,0.007000908485740759,25.228468479598533,,-18.755263157894735,-10.287281693725923
86,EX_co2_e,0.0,,,0.011227309538885356,25.228468479601013,,-18.755263157894735,-9.931047287031213
87,EX_co2_e,0.0,,,0.015040870530720327,25.228468479608757,,-18.755263157894735,-9.574812880336504
88,EX_co2_e,0.0,7.476170539413503e-26,,0.0185665785347278,25.228468479602775,,-18.755263157894735,-9.218578473641795
89,EX_co2_e,0.0,3.033748004621294e-26,,0.022092286538738223,25.228468479603443,,-18.755263157894735,-8.862344066947086
90,EX_co2_e,0.0,5.886642329471264e-14,,0.025617994542748664,25.228468479603926,,-18.755263157894735,-8.506109660252378
91,EX_co2_e,0.0,0.0,,0.02914370254675584,25.228468479600615,,-18.755263157894735,-8.149875253557669
92,EX_co2_e,0.0,0.0,,0.03266941055076707,25.228468479602366,,-18.755263157894735,-7.79364084686296
93,EX_co2_e,0.0,0.0,,0.02789972342066942,19.71921232458221,,-18.755263157894735,-7.437406440168251
94,EX_co2_e,0.0,0.0,,0.010817400878659934,7.251768419523843,,-18.755263157894735,-7.081172033473542
95,EX_co2_e,,,,,,,-18.755263157894735,-6.724937626778833
96,EX_co2_e,,,,,,,-18.755263157894735,-6.368703220084124
97,EX_co2_e,,,,,,,-18.755263157894735,-6.0124688133894155
98,EX_co2_e,,,,,,,-18.755263157894735,-5.656234406694707
99,EX_co2_e,,,,,,,-18.755263157894735,-5.299999999999998
100,EX_co2_e,,,,,,,-18.21157894736842,-12.068453727199467
101,EX_co2_e,,,,,,,-18.21157894736842,-11.712219320504758
102,EX_co2_e,,,,,,,-18.21157894736842,-11.35598491381005
103,EX_co2_e,,,,,,,-18.21157894736842,-10.99975050711534
104,EX_co2_e,,,,,,,-18.21157894736842,-10.643516100420632
105,EX_co2_e,0.0,,,0.0033599480215685653,25.228468479600547,,-18.21157894736842,-10.287281693725923
106,EX_co2_e,0.0,0.0,,0.007586349092543765,25.22846847960368,,-18.21157894736842,-9.931047287031213
107,EX_co2_e,0.0,1.991465480445096e-12,,0.011217579425462549,25.228468479604167,,-18.21157894736842,-9.574812880336504
108,EX_co2_e,0.0,0.0,,0.014743287429472963,25.228468479605286,,-18.21157894736842,-9.218578473641795
109,EX_co2_e,0.0,5.078196050748675e-26,,0.018268995433483513,25.22846847960593,,-18.21157894736842,-8.862344066947086
110,EX_co2_e,0.0,0.0,,0.021794703437494446,25.22846847960705,,-18.21157894736842,-8.506109660252378
111,EX_co2_e,0.0,0.0,,0.025320411441503522,25.228468479605237,,-18.21157894736842,-8.149875253557669
112,EX_co2_e,0.0,0.0,,0.028846119445512672,25.228468479603887,,-18.21157894736842,-7.79364084686296
113,EX_co2_e,0.0,0.0,,0.03194130522225038,24.912943185734534,,-18.21157894736842,-7.437406440168251
114,EX_co2_e,0.0,0.0,,0.01686033871911824,12.258084681945707,,-18.21157894736842,-7.081172033473542
115,EX_co2_e,,,,,,,-18.21157894736842,-6.724937626778833
116,EX_co2_e,,,,,,,-18.21157894736842,-6.368703220084124
117,EX_co2_e,,,,,,,-18.21157894736842,-6.0124688133894155
118,EX_co2_e,,,,,,,-18.21157894736842,-5.656234406694707
119,EX_co2_e,,,,,,,-18.21157894736842,-5.299999999999998
120,EX_co2_e,,,,,,,-17.6678947368421,-12.068453727199467
121,EX_co2_e,,,,,,,-17.6678947368421,-11.712219320504758
122,EX_co2_e,,,,,,,-17.6678947368421,-11.35598491381005
123,EX_co2_e,,,,,,,-17.6678947368421,-10.99975050711534
124,EX_co2_e,,,,,,,-17.6678947368421,-10.643516100420632
125,EX_co2_e,,,,,,,-17.6678947368421,-10.287281693725923
126,EX_co2_e,0.0,,,0.0038685803162050746,25.2284684796832,,-17.6678947368421,-9.931047287031213
127,EX_co2_e,0.0,57.61181907917772,,0.007394288320203068,25.228468479587363,,-17.6678947368421,-9.574812880336504
128,EX_co2_e,0.0,,,0.010919996324213789,25.228468479594888,,-17.6678947368421,-9.218578473641795
129,EX_co2_e,0.0,,,0.014445704328224328,25.228468479598288,,-17.6678947368421,-8.862344066947086
130,EX_co2_e,0.0,9.178995772467526e-27,,0.01797141233222931,25.228468479589004,,-17.6678947368421,-8.506109660252378
131,EX_co2_e,0.0,0.0,,0.021497120336239336,25.228468479591275,,-17.6678947368421,-8.149875253557669
132,EX_co2_e,0.0,0.0,,0.025022828340258173,25.2284684796057,,-17.6678947368421,-7.79364084686296
133,EX_co2_e,0.0,0.0,,0.02854853634426982,25.228468479607564,,-17.6678947368421,-7.437406440168251
134,EX_co2_e,0.0,0.0,,0.021228978616436363,17.04580314278801,,-17.6678947368421,-7.081172033473542
135,EX_co2_e,0.0,0.0,,0.0026109828624602785,1.993728245454634,,-17.6678947368421,-6.724937626778833
136,EX_co2_e,,,,,,,-17.6678947368421,-6.368703220084124
137,EX_co2_e,,,,,,,-17.6678947368421,-6.0124688133894155
138,EX_co2_e,,,,,,,-17.6678947368421,-5.656234406694707
139,EX_co2_e,,,,,,,-17.6678947368421,-5.299999999999998
140,EX_co2_e,,,,,,,-17.124210526315785,-12.068453727199467
141,EX_co2_e,,,,,,,-17.124210526315785,-11.712219320504758
142,EX_co2_e,,,,,,,-17.124210526315785,-11.35598491381005
143,EX_co2_e,,,,,,,-17.124210526315785,-10.99975050711534
144,EX_co2_e,,,,,,,-17.124210526315785,-10.643516100420632
145,EX_co2_e,,,,,,,-17.124210526315785,-10.287281693725923
146,EX_co2_e,0.0,,,4.5325975445334055e-05,25.24883159509415,,-17.124210526315785,-9.931047287031213
147,EX_co2_e,0.0,,,0.0035709972149499574,25.228468479599044,,-17.124210526315785,-9.574812880336504
148,EX_co2_e,0.0,,,0.007096705218959313,25.22846847959894,,-17.124210526315785,-9.218578473641795
149,EX_co2_e,0.0,,,0.010622413222971017,25.22846847960599,,-17.124210526315785,-8.862344066947086
150,EX_co2_e,0.0,3.314566550074649e-27,,0.01414812122698067,25.22846847960424,,-17.124210526315785,-8.506109660252378
151,EX_co2_e,0.0,0.0,,0.017673829230991363,25.22846847960507,,-17.124210526315785,-8.149875253557669
152,EX_co2_e,0.0,0.0,,0.02119953723500152,25.228468479605056,,-17.124210526315785,-7.79364084686296
153,EX_co2_e,0.0,0.0,,0.024725245239011477,25.228468479604476,,-17.124210526315785,-7.437406440168251
154,EX_co2_e,0.0,0.0,,0.025270560418016702,22.71153704114996,,-17.124210526315785,-7.081172033473542
155,EX_co2_e,0.0,0.0,,0.008653920702926608,7.251768419522568,,-17.124210526315785,-6.724937626778833
156,EX_co2_e,,,,,,,-17.124210526315785,-6.368703220084124
157,EX_co2_e,,,,,,,-17.124210526315785,-6.0124688133894155
158,EX_co2_e,,,,,,,-17.124210526315785,-5.656234406694707
159,EX_co2_e,,,,,,,-17.124210526315785,-5.299999999999998
160,EX_co2_e,,,,,,,-16.58052631578947,-12.068453727199467
161,EX_co2_e,,,,,,,-16.58052631578947,-11.712219320504758
162,EX_co2_e,,,,,,,-16.58052631578947,-11.35598491381005
163,EX_co2_e,,,,,,,-16.58052631578947,-10.99975050711534
164,EX_co2_e,,,,,,,-16.58052631578947,-10.643516100420632
165,EX_co2_e,,,,,,,-16.58052631578947,-10.287281693725923
166,EX_co2_e,,,,,,,-16.58052631578947,-9.931047287031213
167,EX_co2_e,,,,,,,-16.58052631578947,-9.574812880336504
168,EX_co2_e,0.0,,,0.003273414113706274,25.22846847962298,,-16.58052631578947,-9.218578473641795
169,EX_co2_e,0.0,,,0.006799122117713698,25.228468479599204,,-16.58052631578947,-8.862344066947086
170,EX_co2_e,0.0,,,0.010324830121723019,25.228468479598583,,-16.58052631578947,-8.506109660252378
171,EX_co2_e,0.0,2.1872545243637178e-25,,0.013850538125734132,25.228468479602626,,-16.58052631578947,-8.149875253557669
172,EX_co2_e,0.0,0.0,,0.01737624612974454,25.228468479603407,,-16.58052631578947,-7.79364084686296
173,EX_co2_e,0.0,0.0,,0.020901954133754723,25.22846847960364,,-16.58052631578947,-7.437406440168251
174,EX_co2_e,0.0,0.0,,0.02442766213776427,25.228468479602775,,-16.58052631578947,-7.081172033473542
175,EX_co2_e,0.0,0.0,,0.014558233812198793,13.530383428384773,,-16.58052631578947,-6.724937626778833
176,EX_co2_e,,,,,,,-16.58052631578947,-6.368703220084124
177,EX_co2_e,,,,,,,-16.58052631578947,-6.0124688133894155
178,EX_co2_e,,,,,,,-16.58052631578947,-5.656234406694707
179,EX_co2_e,,,,,,,-16.58052631578947,-5.299999999999998
180,EX_co2_e,,,,,,,-16.036842105263155,-12.068453727199467
181,EX_co2_e,,,,,,,-16.036842105263155,-11.712219320504758
