,carbon_source,flux_minimum,carbon_yield_minimum,mass_yield_minimum,flux_maximum,carbon_yield_maximum,mass_yield_maximum,EX_h2_e,EX_o2_e
0,EX_co2_e,0.0,,,0.0,,,-77.37783760955878,-38.688918804779384
1,EX_co2_e,,,,,,,-77.37783760955878,-36.93160728873836
2,EX_co2_e,,,,,,,-77.37783760955878,-35.17429577269734
3,EX_co2_e,,,,,,,-77.37783760955878,-33.41698425665632
4,EX_co2_e,,,,,,,-77.37783760955878,-31.659672740615303
5,EX_co2_e,,,,,,,-77.37783760955878,-29.902361224574282
6,EX_co2_e,,,,,,,-77.37783760955878,-28.14504970853326
7,EX_co2_e,,,,,,,-77.37783760955878,-26.387738192492243
8,EX_co2_e,,,,,,,-77.37783760955878,-24.630426676451222
9,EX_co2_e,,,,,,,-77.37783760955878,-22.8731151604102
10,EX_co2_e,,,,,,,-77.37783760955878,-21.11580364436918
11,EX_co2_e,,,,,,,-77.37783760955878,-19.35849212832816
12,EX_co2_e,,,,,,,-77.37783760955878,-17.601180612287138
13,EX_co2_e,,,,,,,-77.37783760955878,-15.843869096246117
14,EX_co2_e,,,,,,,-77.37783760955878,-14.086557580205099
15,EX_co2_e,,,,,,,-77.37783760955878,-12.329246064164078
16,EX_co2_e,,,,,,,-77.37783760955878,-10.571934548123057
17,EX_co2_e,,,,,,,-77.37783760955878,-8.814623032082036
18,EX_co2_e,,,,,,,-77.37783760955878,-7.057311516041015
19,EX_co2_e,,,,,,,-77.37783760955878,-5.299999999999999
20,EX_co2_e,,,,,,,-73.86321457747674,-38.688918804779384
21,EX_co2_e,0.0,,,0.002234676737999162,9.374135826350502,,-73.86321457747674,-36.93160728873836
22,EX_co2_e,,,,,,,-73.86321457747674,-35.17429577269734
23,EX_co2_e,,,,,,,-73.86321457747674,-33.41698425665632
24,EX_co2_e,,,,,,,-73.86321457747674,-31.659672740615303
25,EX_co2_e,,,,,,,-73.86321457747674,-29.902361224574282
26,EX_co2_e,,,,,,,-73.86321457747674,-28.14504970853326
27,EX_co2_e,,,,,,,-73.86321457747674,-26.387738192492243
28,EX_co2_e,,,,,,,-73.86321457747674,-24.630426676451222
29,EX_co2_e,,,,,,,-73.86321457747674,-22.8731151604102
30,EX_co2_e,,,,,,,-73.86321457747674,-21.11580364436918
31,EX_co2_e,,,,,,,-73.86321457747674,-19.35849212832816
32,EX_co2_e,,,,,,,-73.86321457747674,-17.601180612287138
33,EX_co2_e,,,,,,,-73.86321457747674,-15.843869096246117
34,EX_co2_e,,,,,,,-73.86321457747674,-14.086557580205099
35,EX_co2_e,,,,,,,-73.86321457747674,-12.329246064164078
36,EX_co2_e,,,,,,,-73.86321457747674,-10.571934548123057
37,EX_co2_e,,,,,,,-73.86321457747674,-8.814623032082036
38,EX_co2_e,,,,,,,-73.86321457747674,-7.057311516041015
39,EX_co2_e,,,,,,,-73.86321457747674,-5.299999999999999
40,EX_co2_e,,,,,,,-70.3485915453947,-38.688918804779384
41,EX_co2_e,,,,,,,-70.3485915453947,-36.93160728873836
42,EX_co2_e,0.0,0.0,,0.004469353475913934,9.374135826359439,,-70.3485915453947,-35.17429577269734
43,EX_co2_e,,,,,,,-70.3485915453947,-33.41698425665632
44,EX_co2_e,,,,,,,-70.3485915453947,-31.659672740615303
45,EX_co2_e,,,,,,,-70.3485915453947,-29.902361224574282
46,EX_co2_e,,,,,,,-70.3485915453947,-28.14504970853326
47,EX_co2_e,,,,,,,-70.3485915453947,-26.387738192492243
48,EX_co2_e,,,,,,,-70.3485915453947,-24.630426676451222
49,EX_co2_e,,,,,,,-70.3485915453947,-22.8731151604102
50,EX_co2_e,,,,,,,-70.3485915453947,-21.11580364436918
51,EX_co2_e,,,,,,,-70.3485915453947,-19.35849212832816
