,carbon_source,flux_minimum,carbon_yield_minimum,mass_yield_minimum,flux_maximum,carbon_yield_maximum,mass_yield_maximum,EX_co2_e,EX_o2_e
0,EX_co2_e,,,,,,,-2.124455980481611,-11.552631578947302
1,EX_co2_e,,,,,,,-2.124455980481611,-11.223545706371128
2,EX_co2_e,,,,,,,-2.124455980481611,-10.894459833794954
3,EX_co2_e,,,,,,,-2.124455980481611,-10.56537396121878
4,EX_co2_e,,,,,,,-2.124455980481611,-10.236288088642606
5,EX_co2_e,,,,,,,-2.124455980481611,-9.907202216066434
6,EX_co2_e,,,,,,,-2.124455980481611,-9.578116343490258
7,EX_co2_e,,,,,,,-2.124455980481611,-9.249030470914086
8,EX_co2_e,,,,,,,-2.124455980481611,-8.919944598337912
9,EX_co2_e,,,,,,,-2.124455980481611,-8.590858725761738
10,EX_co2_e,,,,,,,-2.124455980481611,-8.261772853185564
11,EX_co2_e,,,,,,,-2.124455980481611,-7.93268698060939
12,EX_co2_e,,,,,,,-2.124455980481611,-7.6036011080332155
13,EX_co2_e,,,,,,,-2.124455980481611,-7.2745152354570415
14,EX_co2_e,,,,,,,-2.124455980481611,-6.945429362880868
15,EX_co2_e,,,,,,,-2.124455980481611,-6.616343490304694
16,EX_co2_e,,,,,,,-2.124455980481611,-6.28725761772852
17,EX_co2_e,,,,,,,-2.124455980481611,-5.958171745152346
18,EX_co2_e,,,,,,,-2.124455980481611,-5.629085872576172
19,EX_co2_e,,,,,,,-2.124455980481611,-5.299999999999999
20,EX_co2_e,,,,,,,-2.012642507824684,-11.552631578947302
21,EX_co2_e,,,,,,,-2.012642507824684,-11.223545706371128
22,EX_co2_e,,,,,,,-2.012642507824684,-10.894459833794954
23,EX_co2_e,,,,,,,-2.012642507824684,-10.56537396121878
24,EX_co2_e,,,,,,,-2.012642507824684,-10.236288088642606
25,EX_co2_e,,,,,,,-2.012642507824684,-9.907202216066434
26,EX_co2_e,,,,,,,-2.012642507824684,-9.578116343490258
27,EX_co2_e,,,,,,,-2.012642507824684,-9.249030470914086
28,EX_co2_e,,,,,,,-2.012642507824684,-8.919944598337912
29,EX_co2_e,,,,,,,-2.012642507824684,-8.590858725761738
30,EX_co2_e,,,,,,,-2.012642507824684,-8.261772853185564
31,EX_co2_e,,,,,,,-2.012642507824684,-7.93268698060939
32,EX_co2_e,0.034594785500246986,7.696534735497367,,0.04213535432604799,9.374135826354593,,-2.012642507824684,-7.6036011080332155
33,EX_co2_e,0.0,7.636587754750474e-13,,0.039637988461633314,8.81853003650006,,-2.012642507824684,-7.2745152354570415
34,EX_co2_e,,,,,,,-2.012642507824684,-6.945429362880868
35,EX_co2_e,,,,,,,-2.012642507824684,-6.616343490304694
36,EX_co2_e,,,,,,,-2.012642507824684,-6.28725761772852
37,EX_co2_e,,,,,,,-2.012642507824684,-5.958171745152346
38,EX_co2_e,,,,,,,-2.012642507824684,-5.629085872576172
39,EX_co2_e,,,,,,,-2.012642507824684,-5.299999999999999
40,EX_co2_e,,,,,,,-1.9008290351677575,-11.552631578947302
41,EX_co2_e,,,,,,,-1.9008290351677575,-11.223545706371128
42,EX_co2_e,,,,,,,-1.9008290351677575,-10.894459833794954
43,EX_co2_e,,,,,,,-1.9008290351677575,-10.56537396121878
44,EX_co2_e,,,,,,,-1.9008290351677575,-10.236288088642606
45,EX_co2_e,,,,,,,-1.9008290351677575,-9.907202216066434
46,EX_co2_e,,,,,,,-1.9008290351677575,-9.578116343490258
47,EX_co2_e,,,,,,,-1.9008290351677575,-9.249030470914086
48,EX_co2_e,,,,,,,-1.9008290351677575,-8.919944598337912
49,EX_co2_e,,,,,,,-1.9008290351677575,-8.590858725761738
50,EX_co2_e,,,,,,,-1.9008290351677575,-8.261772853185564
51,EX_co2_e,,,,,,,-1.9008290351677575,-7.93268698060939
52,EX_co2_e,0.0,8.288491826833718e-28,,0.03979450130712444,9.374135826163844,,-1.9008290351677575,-7.6036011080332155
53,EX_co2_e,0.0,0.0,,0.03979450130793706,9.37413582635526,,-1.9008290351677575,-7.2745152354570415
54,EX_co2_e,0.0,1.1570365181799253e-44,,0.012925643223477458,3.0448109974359534,,-1.9008290351677575,-6.945429362880868
55,EX_co2_e,,,,,,,-1.9008290351677575,-6.616343490304694
56,EX_co2_e,,,,,,,-1.9008290351677575,-6.28725761772852
57,EX_co2_e,,,,,,,-1.9008290351677575,-5.958171745152346
58,EX_co2_e,,,,,,,-1.9008290351677575,-5.629085872576172
59,EX_co2_e,,,,,,,-1.9008290351677575,-5.299999999999999
60,EX_co2_e,,,,,,,-1.7890155625108304,-11.552631578947302
61,EX_co2_e,,,,,,,-1.7890155625108304,-11.223545706371128
62,EX_co2_e,,,,,,,-1.7890155625108304,-10.894459833794954
63,EX_co2_e,,,,,,,-1.7890155625108304,-10.56537396121878
64,EX_co2_e,,,,,,,-1.7890155625108304,-10.236288088642606
65,EX_co2_e,,,,,,,-1.7890155625108304,-9.907202216066434
66,EX_co2_e,,,,,,,-1.7890155625108304,-9.578116343490258
67,EX_co2_e,,,,,,,-1.7890155625108304,-9.249030470914086
68,EX_co2_e,,,,,,,-1.7890155625108304,-8.919944598337912
69,EX_co2_e,,,,,,,-1.7890155625108304,-8.590858725761738
70,EX_co2_e,,,,,,,-1.7890155625108304,-8.261772853185564
71,EX_co2_e,0.0008833441761567827,0.22108896374091197,,0.0374536482898243,9.374135826355555,,-1.7890155625108304,-7.93268698060939
72,EX_co2_e,0.0,5.7186943837841514e-15,,0.03745364828981639,9.374135826353577,,-1.7890155625108304,-7.6036011080332155
73,EX_co2_e,0.0,0.0,,0.03745364828982306,9.374135826355246,,-1.7890155625108304,-7.2745152354570415
74,EX_co2_e,0.0,0.0,,0.025422114809579243,6.362807579494121,,-1.7890155625108304,-6.945429362880868
75,EX_co2_e,,,,,,,-1.7890155625108304,-6.616343490304694
76,EX_co2_e,,,,,,,-1.7890155625108304,-6.28725761772852
77,EX_co2_e,,,,,,,-1.7890155625108304,-5.958171745152346
78,EX_co2_e,,,,,,,-1.7890155625108304,-5.629085872576172
79,EX_co2_e,,,,,,,-1.7890155625108304,-5.299999999999999
80,EX_co2_e,,,,,,,-1.6772020898539035,-11.552631578947302
81,EX_co2_e,,,,,,,-1.6772020898539035,-11.223545706371128
82,EX_co2_e,,,,,,,-1.6772020898539035,-10.894459833794954
83,EX_co2_e,,,,,,,-1.6772020898539035,-10.56537396121878
84,EX_co2_e,,,,,,,-1.6772020898539035,-10.236288088642606
85,EX_co2_e,,,,,,,-1.6772020898539035,-9.907202216066434
86,EX_co2_e,,,,,,,-1.6772020898539035,-9.578116343490258
87,EX_co2_e,,,,,,,-1.6772020898539035,-9.249030470914086
88,EX_co2_e,,,,,,,-1.6772020898539035,-8.919944598337912
89,EX_co2_e,,,,,,,-1.6772020898539035,-8.590858725761738
90,EX_co2_e,0.02882898791686709,7.696534735495926,,0.0351127952717135,9.37413582635642,,-1.6772020898539035,-8.261772853185564
91,EX_co2_e,0.0,4.0681131407158557e-13,,0.03511279527171301,9.374135826356286,,-1.6772020898539035,-7.93268698060939
92,EX_co2_e,0.0,0.0,,0.03511279527171331,9.374135826356365,,-1.6772020898539035,-7.6036011080332155
93,EX_co2_e,0.0,0.0,,0.035112795271713064,9.3741358263563,,-1.6772020898539035,-7.2745152354570415
94,EX_co2_e,0.0,0.0,,0.03303165705136068,8.818530036499949,,-1.6772020898539035,-6.945429362880868
95,EX_co2_e,,,,,,,-1.6772020898539035,-6.616343490304694
96,EX_co2_e,,,,,,,-1.6772020898539035,-6.28725761772852
97,EX_co2_e,,,,,,,-1.6772020898539035,-5.958171745152346
98,EX_co2_e,,,,,,,-1.6772020898539035,-5.629085872576172
99,EX_co2_e,,,,,,,-1.6772020898539035,-5.299999999999999
100,EX_co2_e,,,,,,,-1.5653886171969766,-11.552631578947302
101,EX_co2_e,,,,,,,-1.5653886171969766,-11.223545706371128
102,EX_co2_e,,,,,,,-1.5653886171969766,-10.894459833794954
103,EX_co2_e,,,,,,,-1.5653886171969766,-10.56537396121878
104,EX_co2_e,,,,,,,-1.5653886171969766,-10.236288088642606
105,EX_co2_e,,,,,,,-1.5653886171969766,-9.907202216066434
106,EX_co2_e,,,,,,,-1.5653886171969766,-9.578116343490258
107,EX_co2_e,,,,,,,-1.5653886171969766,-9.249030470914086
108,EX_co2_e,,,,,,,-1.5653886171969766,-8.919944598337912
109,EX_co2_e,,,,,,,-1.5653886171969766,-8.590858725761738
110,EX_co2_e,0.0,8.989821180055123e-14,,0.03277194225359244,9.374135826354461,,-1.5653886171969766,-8.261772853185564
111,EX_co2_e,0.0,0.0,,0.032771942253592715,9.374135826354541,,-1.5653886171969766,-7.93268698060939
112,EX_co2_e,0.0,0.0,,0.03277194225359795,9.374135826356035,,-1.5653886171969766,-7.6036011080332155
113,EX_co2_e,0.0,0.0,,0.03277194225359897,9.374135826356332,,-1.5653886171969766,-7.2745152354570415
114,EX_co2_e,0.0,0.0,,0.032771942253599994,9.37413582635662,,-1.5653886171969766,-6.945429362880868
