Reaction,Minimum Flux,Maximum Flux
EX_25dkglcn_e,0.0,0.0
EX_2ameph_e,0.0,0.0
EX_2m35mdntha_e,0.0,0.0
EX_2pglyc_e,0.0,0.0
EX_34dhbz_e,0.0,0.0
EX_35dnta_e,0.0,0.0
EX_3cmp_e,0.0,0.0
EX_3h4atb_e,0.0,0.0
EX_4abut_e,0.0,0.0
EX_4abz_e,0.0,0.0
EX_4hba_e,0.0,0.0
EX_4hoxpac_e,0.0,0.0
EX_4hphac_e,0.0,0.0
EX_4hpro_DC_e,0.0,0.0
EX_4hpro_LT_e,0.0,0.0
EX_4oxptn_e,0.0,0.0
EX_5drib_e,0.0,0.0
EX_5mcsn_e,0.0,0.0
EX_6atha_e,0.0,0.0
EX_LalaDgluMdapDala_e,0.0,0.0
EX_LalaLglu_e,0.0,0.0
EX_Lcyst_e,0.0,0.0
EX_Ncbmpts_e,0.0,0.0
EX_R_3hhpa_e,0.0,0.0
EX_R_3hnonaa_e,0.0,0.0
EX_R_3hpba_e,0.0,0.0
EX_R_3hpdeca_e,0.0,0.0
EX_R_3hphpa_e,0.0,0.0
EX_R_3hpnona_e,0.0,0.0
EX_R_3hpocta_e,0.0,0.0
EX_R_3hpt_e,0.0,0.0
EX_R_3htd58e_e,0.0,0.0
EX_abt_e,0.0,0.0
EX_ac_e,0.0,0.0
EX_acald_e,0.0,0.0
EX_acgam_e,0.0,0.0
EX_acmana_e,0.0,0.0
EX_acnam_e,0.0,0.0
EX_acon_C_e,0.0,0.0
EX_actn__R_e,0.0,0.0
EX_ade_e,0.0,0.0
EX_agm_e,0.0,0.0
EX_ala__D_e,0.0,0.0
EX_ala__L_e,0.0,0.0
EX_alahis_e,0.0,0.0
EX_alaleu_e,0.0,0.0
EX_alathr_e,0.0,0.0
EX_alatrp_e,0.0,0.0
EX_anhgm_e,0.0,0.0
EX_apc_e,0.0,0.0
EX_arab__L_e,0.0,0.0
EX_arbt6p_e,0.0,0.0
EX_arbt_e,0.0,0.0
EX_arg__L_e,0.0,0.0
EX_ascb__L_e,0.0,0.0
EX_asn__L_e,0.0,0.0
EX_aso3_e,0.0,0.0
EX_aso4_e,0.0,0.0
EX_asp__L_e,0.0,0.0
EX_bhb_e,0.0,0.0
EX_bz_e,0.0,0.0
EX_ca2_e,-0.00022297370331876004,-0.00020067633298686708
EX_carn_e,0.0,0.0
EX_cd2_e,0.0,0.0
EX_cellb_e,0.0,0.0
EX_cgly_e,0.0,0.0
EX_chol_e,0.0,0.0
EX_chols_e,0.0,0.0
EX_chtbs_e,0.0,0.0
EX_cinnm_e,0.0,0.0
EX_cl_e,-0.00022297370331873757,-0.00020067633298686717
EX_cm_e,0.0,0.0
EX_co2_e,-2.1507652035313027,-1.9356886831783557
EX_co_e,0.0,0.0
EX_coa_e,0.0,0.0
EX_cobalt2_e,-1.0806479966982433e-06,-9.725831970284353e-07
EX_crn_e,0.0,0.0
EX_csn_e,0.0,0.0
EX_cu2_e,-0.0003036620870722064,-0.0002732958783649903
EX_cyan_e,0.0,0.0
EX_cynt_e,0.0,0.0
EX_cys__L_e,0.0,0.0
EX_dca_e,0.0,0.0
EX_ddca_e,0.0,0.0
EX_dextrin_e,0.0,0.0
EX_drib_e,0.0,0.0
EX_dxyl_e,0.0,0.0
EX_enter_e,0.0,0.0
EX_fald_e,0.0,0.0
EX_fe2_e,-0.004540701931259004,0.0
EX_fe3_e,-0.004521859893995418,1.286492349106481e-19
EX_fe3dcit_e,0.0,0.0
EX_fe3pyovd_kt_e,0.0,0.0
EX_feenter_e,0.0,0.0
EX_fol_e,0.0,0.0
EX_for_e,0.0,0.0
EX_frmd_e,0.0,0.0
EX_fru_e,0.0,0.0
EX_fuc_e,0.0,0.0
EX_gal_bD_e,0.0,0.0
EX_gal_e,0.0,0.0
EX_galt_e,0.0,0.0
EX_galur_e,0.0,0.0
EX_gam_e,0.0,0.0
EX_glc__D_e,0.0,0.0
EX_glc__aD_e,0.0,0.0
EX_glcr_e,0.0,0.0
EX_glcur_e,0.0,0.0
EX_gln__L_e,0.0,0.0
EX_glu__L_e,0.0,0.0
EX_gly_e,0.0,0.0
EX_glyb_e,0.0,0.0
EX_glyc2p_e,0.0,0.0
EX_glyc3p_e,0.0,0.0
EX_glyclt_e,0.0,0.0
EX_glygln_e,0.0,0.0
EX_glyglu_e,0.0,0.0
EX_glygly_e,0.0,0.0
EX_glymet_e,0.0,0.0
EX_glyphe_e,0.0,0.0
EX_glyser_e,0.0,0.0
EX_gthrd_e,0.0,0.0
EX_gua_e,0.0,0.0
EX_h2_e,-20.5,-19.58333333333299
EX_h2o2_e,0.0,0.0
EX_h2o_e,18.426633174918848,19.343299841586212
EX_h2s_e,0.0,0.0
EX_h_e,0.0,0.0
EX_hco3_e,0.0,0.0
EX_hdca_e,0.0,0.0
EX_hdcea_e,0.0,0.0
EX_hexs_e,0.0,0.0
EX_his__L_e,0.0,0.0
EX_hisgly_e,0.0,0.0
EX_hishis_e,0.0,0.0
EX_hpta_e,0.0,0.0
EX_hxa_e,0.0,0.0
EX_icit_e,0.0,0.0
EX_ile__L_e,0.0,0.0
EX_ind3ac_e,0.0,0.0
EX_indole_e,0.0,0.0
EX_inost_e,0.0,0.0
EX_k_e,-0.008361063604454566,-0.0075249572440087556
EX_lcts_e,0.0,0.0
EX_leu__D_e,0.0,0.0
EX_leu__L_e,0.0,0.0
EX_leuleu_e,0.0,0.0
EX_lnlc_e,0.0,0.0
EX_lys__L_e,0.0,0.0
EX_m_xyl_e,0.0,0.0
EX_malt_e,0.0,0.0
EX_malthp_e,0.0,0.0
EX_malthx_e,0.0,0.0
