start,EC
1906,EC=2.7.7.7
5430,EC=6.1.1.21
7202,"EC=5.4.2.2,5.4.2.8"
9356,EC=3.4.23.43
9905,EC=3.4.11.1
33744,"EC=2.2.1.6,4.1.1.7"
37258,EC=2.6.1.76
38709,"EC=2.3.2.2,3.4.19.13"
49012,EC=1.1.1.94
50860,"EC=2.4.1.15,2.4.1.347"
56654,EC=3.1.6.1
59932,EC=4.2.1.104
63732,EC=1.18.1.3
65545,"EC=2.8.1.1,2.8.1.2"
69292,EC=1.1.1.1
71535,EC=2.4.2.19
72408,EC=1.4.3.16
73961,EC=2.5.1.72
77623,EC=1.6.1.2
79040,EC=1.6.1.2
79492,EC=1.6.1.2
88216,EC=6.3.1.2
95547,EC=6.1.1.20
97973,EC=6.1.1.20
100394,EC=6.1.1.14
103224,EC=6.1.1.14
107115,EC=3.2.2.27
108522,EC=2.5.1.18
113087,EC=1.8.5.4
115687,EC=1.8.5.4
119424,EC=2.1.1.72
127420,"EC=4.2.1.33,4.2.1.35"
129382,EC=2.7.2.8
130600,"EC=4.2.1.33,4.2.1.35"
133772,EC=2.6.1.52
135157,"EC=1.1.1.399,1.1.1.95"
138940,EC=1.13.11.2
140072,EC=5.4.99.63
142822,"EC=1.1.1.1,1.3.1.85"
144612,EC=5.4.99.23
151734,EC=1.1.1.410
152730,EC=1.1.1.30
154255,"EC=4.2.1.82,4.2.1.9"
164780,EC=1.1.1.1
171267,EC=6.3.4.5
178844,EC=3.4.23.36
179426,EC=6.1.1.5
191682,EC=3.4.16.4
195567,EC=3.1.26.5
198898,EC=2.3.1.37
201201,EC=4.1.1.17
204946,EC=2.5.1.44
206706,EC=3.1.1.75
208392,EC=2.5.1.18
212028,EC=4.1.1.104
214085,EC=2.7.7.75
217516,EC=1.2.7.8
223012,EC=2.7.7.9
224070,"EC=5.1.3.2,5.1.3.5"
237788,EC=4.1.1.4
240043,EC=3.6.4.13
246196,EC=
246933,EC=3.6.3.14
249314,EC=3.6.3.14
251975,EC=3.4.21.102
265556,EC=2.1.1.177
266565,EC=2.7.7.18
267254,EC=1.2.1.41
269948,EC=2.7.2.11
272456,EC=4.1.1.46
276942,EC=3.1.1.29
280433,EC=1.1.1.65
282387,EC=2.7.4.6
287706,EC=2.1.2.2
288359,EC=6.3.3.1
302015,EC=2.8.4.5
303282,EC=5.1.1.7
314191,EC=1.1.1.193
315084,EC=3.5.4.25
317230,"EC=1.1.1.1,1.6.5.5"
318708,EC=3.1.4.58
321711,EC=6.3.5.2
329776,EC=3.1.2.6
332299,EC=2.3.1.31
333735,EC=3.6.4.13
340249,EC=2.3.1.117
351337,EC=3.1.21.3
354819,EC=2.1.1.72
356465,EC=3.1.21.3
357670,EC=2.7.7.7
374770,EC=3.5.2.14
376524,EC=3.5.2.14
387040,EC=1.1.1.31
387954,EC=1.13.11.37
388907,EC=1.1.2.4
390328,EC=3.6.3.17
399894,EC=2.8.3.6
400281,EC=2.8.3.6
403595,"EC=1.1.1.35,4.2.1.17,5.1.2.3"
406999,"EC=1.8.1.2,2.7.1.180"
407987,EC=1.8.1.2
411147,EC=2.7.13.3
414470,EC=3.2.1.52
420391,EC=1.8.1.4
422085,EC=2.3.1.12
423421,EC=1.2.4.1
431344,EC=6.3.5.2
440351,EC=
442571,EC=6.2.1.30
448325,EC=6.2.1.3
450297,EC=
453810,EC=2.7.7.7
458483,EC=1.3.8.7
459965,EC=2.7.7.7
469798,"EC=3.6.3.29,3.6.3.41"
482265,EC=6.2.1.1
487520,EC=3.5.1.18
491849,"EC=1.2.1.18,1.2.1.27"
493457,EC=1.3.8.7
494808,EC=1.1.1.31
500300,"EC=2.1.1.17,2.1.1.71"
500998,EC=2.8.1.13
504124,EC=5.3.2.6
507555,EC=6.5.1.1
509218,"EC=1.3.1.10,1.3.1.9"
510164,EC=2.3.1.41
511444,"EC=4.2.1.59,5.3.3.14"
512747,EC=1.3.5.2
513826,EC=2.4.2.10
517173,EC=2.1.2.10
519196,EC=1.4.4.2
520586,EC=1.4.4.2
525308,EC=6.5.1.2
529873,EC=1.12.99.6
