Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	1	1500	+	AAFOLC_00005	dnaA	Chromosomal replication initiator protein DnaA	SO:0001217, UniRef:UniRef50_Q89W63
contig_1	cds	1906	3030	+	AAFOLC_00010	dnaN	DNA polymerase III subunit beta	COG:COG0592, COG:L, EC:2.7.7.7, KEGG:K02338, SO:0001217, UniRef:UniRef50_A7IB68, UniRef:UniRef90_A7IB68
contig_1	cds	3170	4411	+	AAFOLC_00015	recF	DNA replication and repair protein RecF	SO:0001217, UniRef:UniRef50_A0A5M6HUD5
contig_1	cds	4601	5272	+	AAFOLC_00020	ykuD	YkuD domain-containing protein	SO:0001217, UniRef:UniRef50_A8HV50
contig_1	cds	5430	6959	+	AAFOLC_00025		Histidine--tRNA ligase	SO:0001217, UniRef:UniRef50_Q9A2P3
contig_1	cds	7202	8701	+	AAFOLC_00030	manB	Phosphomannomutase	COG:COG1109, COG:G, SO:0001217, UniRef:UniRef50_A0A1L3LX74, UniRef:UniRef90_A0A848JYI5
contig_1	cds	9183	9347	+	AAFOLC_00035		Flp family type IVb pilin	SO:0001217, UniRef:UniRef50_A8IJC1
contig_1	cds	9356	9832	+	AAFOLC_00040		Peptidase-A24 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3L7A210
contig_1	cds	9905	11275	+	AAFOLC_00045		hypothetical protein	PFAM:PF00883.24
contig_1	cds	11272	12129	+	AAFOLC_00050		Peptidase P60	SO:0001217, UniRef:UniRef50_V5SAV5
contig_1	cds	12157	13788	-	AAFOLC_00055		Diguanylate cyclase	SO:0001217, UniRef:UniRef50_A7IBZ4
contig_1	cds	13906	14613	+	AAFOLC_00060		Pyridoxal phosphate homeostasis protein	SO:0001217, UniRef:UniRef50_I9WVJ5
contig_1	tRNA	14968	15043	+	AAFOLC_00065	trnE	tRNA-Glu(ctc)	SO:0000259
contig_1	cds	15599	15877	-	AAFOLC_00070		Tnp-DDE-dom domain-containing protein	SO:0001217, UniRef:UniRef50_A0A259LAC6, UniRef:UniRef90_A0A259LAC6
contig_1	cds	15984	16352	-	AAFOLC_00075		Transposase	SO:0001217, UniRef:UniRef50_A0A258UYS3, UniRef:UniRef90_A0A256G4H0
contig_1	cds	16592	17572	+	AAFOLC_00080		Formylglycine-generating enzyme	SO:0001217, UniRef:UniRef50_I6Y8I5
