"","uniprot","Protein","n_peptides","condition","substrate","growthrate","R1","R2","R3","R4","mean_intensity","median_intensity","sd_intensity","IQR","MAD","CV","mean_mass_fraction","median_mass_fraction","sd_massfraction","rel_intensity","log2_fold_change","fold_change_mean","log2_fold_change_mean","anova","protein_name","protein","length","locus_tag","EC_number","gene_ontology_IDs","System","Process","Pathway","COG","COG_ID","COG_System","COG_Process","eggNOG_name","eggNOG_description","new_locus_tag","product_accession","seq_type","start","end","feature_interval_length","strand","Psortb_localization","Psortb_score","Process.abbr","Pathway.abbr","CI","mean_mass_fraction_norm","MolWeight","mass_g_per_gDCW","mol_fraction","conc_g_per_L_cell_vol","conc_mol_per_cell","conc_mol_per_L_cell_vol","conc_copies_per_cell","substrate_uptake_rate"
"1","Q0K781","Q0K781_CUPNH",5,"FA 0.05","formate",0.05,339680242,196001100,81749807,89493632,176731195.25,142747366,120492845.73714,144363209.75,57125646.5,0.681785949371834,1.0470925134609e-05,8.73229039948018e-06,5.95355290020014e-06,0.595682855833839,-0.747383656973291,0.376383573478768,-1.40972442903624,0.115892065211054,"30S ribosomal protein S20","rpsT H16_A3065",88,"H16_A3065",NA,"GO:0003735; GO:0005840; GO:0006412; GO:0019843","Genetic Information Processing","Genetic information processing","Ribosome","COG0268","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsT","Binds directly to 16S ribosomal RNA","H16_RS15285","WP_010815010.1","chromosome 1",3316805,3317071,267,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",1.08487358778637,1.0470925134609e-05,9.418,7.12022909153412e-06,3.22903216536503e-05,3.16454626290405e-09,3.02409390169213e-21,3.36010097510914e-07,1821.1519449857,14.4481859656746
"2","Q0K781","Q0K781_CUPNH",5,"FA 0.1","formate",0.1,374100592,224104820,1435943700,207930656,560519942,299102706,588391385.909507,419500090,83084968,1.04972426816798,3.57198508848176e-05,2.01359715863452e-05,2.11372180373274e-05,1.24815160580763,0.319793180724927,0.788647443914652,-0.342547591338023,0.115892065211054,"30S ribosomal protein S20","rpsT H16_A3065",88,"H16_A3065",NA,"GO:0003735; GO:0005840; GO:0006412; GO:0019843","Genetic Information Processing","Genetic information processing","Ribosome","COG0268","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsT","Binds directly to 16S ribosomal RNA","H16_RS15285","WP_010815010.1","chromosome 1",3316805,3317071,267,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",1.67034555939891,3.57198508848176e-05,9.418,2.4289498601676e-05,0.000115047631196034,1.0795332711856e-08,1.0316202421608e-20,1.14624356726728e-06,6212.56241231963,26.5935259613296
"3","Q0K781","Q0K781_CUPNH",5,"FA 0.15","formate",0.15,193780992,248251396,288310200,240594904,242734373,244423150,38766843.1714938,29374671,23857648,0.159708914285056,1.51273980472944e-05,1.54318635225719e-05,2.46460616858512e-06,1.01997454736855,0.0285331513699768,0.644473248199458,-0.633807620692973,0.115892065211054,"30S ribosomal protein S20","rpsT H16_A3065",88,"H16_A3065",NA,"GO:0003735; GO:0005840; GO:0006412; GO:0019843","Genetic Information Processing","Genetic information processing","Ribosome","COG0268","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsT","Binds directly to 16S ribosomal RNA","H16_RS15285","WP_010815010.1","chromosome 1",3316805,3317071,267,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",0.254132522093674,1.51273980472944e-05,9.418,1.02866306721602e-05,4.99964148918406e-05,4.57183585429341e-09,4.36892362376733e-21,4.85435472760412e-07,2631.02734689085,38.7388659569846
"4","Q0K781","Q0K781_CUPNH",5,"FA 0.2","formate",0.2,3937910560,215984800,226241455,1714542568,1523669845.75,970392011.5,1756734777.02657,2046707274.75,749278884,1.15296288229807,9.70827317443341e-05,6.5339240530565e-05,7.53337190892869e-05,4.04943293096325,2.01771989195602,2.55864344960046,1.35537911989307,0.115892065211054,"30S ribosomal protein S20","rpsT H16_A3065",88,"H16_A3065",NA,"GO:0003735; GO:0005840; GO:0006412; GO:0019843","Genetic Information Processing","Genetic information processing","Ribosome","COG0268","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsT","Binds directly to 16S ribosomal RNA","H16_RS15285","WP_010815010.1","chromosome 1",3316805,3317071,267,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",1.83462123244937,9.70827317443341e-05,9.418,6.60162575861472e-05,0.000324617050010237,2.93405589271765e-08,2.8038334077786e-20,3.11536733771688e-06,16885.0797296166,50.8842059526396
"5","Q0K781","Q0K781_CUPNH",5,"FA 0.25","formate",0.25,4163357080,219237610,179213700,260035428,1205460954.5,239636519,1972206786.65729,1026634208.5,40410864,1.63606027992447,7.31737614966877e-05,1.49700511071507e-05,2.44919060048486e-05,1,0,0.631852284806661,-0.66234077206295,0.115892065211054,"30S ribosomal protein S20","rpsT H16_A3065",88,"H16_A3065",NA,"GO:0003735; GO:0005840; GO:0006412; GO:0019843","Genetic Information Processing","Genetic information processing","Ribosome","COG0268","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsT","Binds directly to 16S ribosomal RNA","H16_RS15285","WP_010815010.1","chromosome 1",3316805,3317071,267,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",2.60333699653354,7.31737614966877e-05,9.418,4.97581578177477e-05,0.000244546417531281,2.21147368078879e-08,2.11332163167329e-20,2.34813279816851e-06,12726.7205484216,63.0295459482946
"6","Q0K781","Q0K781_CUPNH",5,"FRC 0.05","fructose",0.05,2406198545,122503442,267548726,950748066,936749694.75,609148396,1044078984.01607,1083323280.75,414122312,1.114576273542,7.47688596731959e-05,4.98749147705783e-05,5.55893966482162e-05,0.696844813763089,-0.521090688925846,0.791651351446597,-0.337062897263805,0.833385910054876,"30S ribosomal protein S20","rpsT H16_A3065",88,"H16_A3065",NA,"GO:0003735; GO:0005840; GO:0006412; GO:0019843","Genetic Information Processing","Genetic information processing","Ribosome","COG0268","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsT","Binds directly to 16S ribosomal RNA","H16_RS15285","WP_010815010.1","chromosome 1",3316805,3317071,267,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",1.77353957184532,7.47688596731959e-05,9.418,5.08428245777732e-05,0.000230766053699857,2.25968109234548e-08,2.15938944904537e-20,2.3993192107288e-06,13004.147433749,0.54063055062167
"7","Q0K781","Q0K781_CUPNH",5,"FRC 0.1","fructose",0.1,2618766746,NA,179766304,258000892,1018844647.33333,258000892,1386125248.32403,1219500221,78234588,1.36048734412257,9.4541873340133e-05,2.40988876320266e-05,3.27862316308043e-05,0.295144146675962,-1.76050836447,0.335298846992659,-1.57648057280796,0.833385910054876,"30S ribosomal protein S20","rpsT H16_A3065",88,"H16_A3065",NA,"GO:0003735; GO:0005840; GO:0006412; GO:0019843","Genetic Information Processing","Genetic information processing","Ribosome","COG0268","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsT","Binds directly to 16S ribosomal RNA","H16_RS15285","WP_010815010.1","chromosome 1",3316805,3317071,267,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",NA,9.4541873340133e-05,9.418,6.42884738712904e-05,0.000304693683029066,2.85726550539069e-08,2.73045121559951e-20,3.03383165016477e-06,16443.1618316985,1.15896980461812
"8","Q0K781","Q0K781_CUPNH",5,"FRC 0.15","fructose",0.15,1990247251,2627178936,312038058,570968504,1375108187.25,1280607877.5,1113977252.5367,1643244279.75,839104596.5,0.810101534457793,0.000125879716722223,0.00012141537787858,9.83587839262108e-05,1.46497136618912,0.550872466517374,1.66428240401381,0.734900258179416,0.833385910054876,"30S ribosomal protein S20","rpsT H16_A3065",88,"H16_A3065",NA,"GO:0003735; GO:0005840; GO:0006412; GO:0019843","Genetic Information Processing","Genetic information processing","Ribosome","COG0268","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsT","Binds directly to 16S ribosomal RNA","H16_RS15285","WP_010815010.1","chromosome 1",3316805,3317071,267,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",1.28905231761993,0.000125879716722223,9.418,8.55982073711118e-05,0.000410926774111092,3.80436477204941e-08,3.63551528439634e-20,4.03945738764562e-06,21893.5851413177,1.77730905861456
"9","Q0K781","Q0K781_CUPNH",5,"FRC 0.2","fructose",0.2,501992148,225941890,2418339440,1148844122,1073779400,825418135,976259104.706404,1033238368,461451116,0.909180325778651,9.09775651428792e-05,7.35504313682691e-05,6.68706051525632e-05,0.94424995672278,-0.0827592823440557,1.07271624840867,0.101268509317986,0.833385910054876,"30S ribosomal protein S20","rpsT H16_A3065",88,"H16_A3065",NA,"GO:0003735; GO:0005840; GO:0006412; GO:0019843","Genetic Information Processing","Genetic information processing","Ribosome","COG0268","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsT","Binds directly to 16S ribosomal RNA","H16_RS15285","WP_010815010.1","chromosome 1",3316805,3317071,267,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",1.44670878430545,9.09775651428792e-05,9.418,6.18647442971579e-05,0.000302577288902109,2.74954419098479e-08,2.62751090665355e-20,2.91945364349183e-06,15823.240791054,2.39564831261101
"10","Q0K781","Q0K781_CUPNH",5,"FRC 0.25","fructose",0.25,145265700,129483090,2489776944,1603038611,1091891086.25,874152155.5,1160127210.91186,1683403146.75,736777760.5,1.0624935266174,9.50270048445619e-05,8.05465136590834e-05,8.55801493543758e-05,1,0,1.13605114913827,0.184027791662041,0.833385910054876,"30S ribosomal protein S20","rpsT H16_A3065",88,"H16_A3065",NA,"GO:0003735; GO:0005840; GO:0006412; GO:0019843","Genetic Information Processing","Genetic information processing","Ribosome","COG0268","J","Information storage and processing","Translation, ribosomal structure and biogenesis","rpsT","Binds directly to 16S ribosomal RNA","H16_RS15285","WP_010815010.1","chromosome 1",3316805,3317071,267,"-","Cytoplasmic",9.26,"Genetic information ","Ribosome",1.69066429908569,9.50270048445619e-05,9.418,6.46183632943021e-05,0.000317425078955873,2.87192725752454e-08,2.74446223377796e-20,3.04939943257303e-06,16527.5381567611,3.01398756660746
