locus_tag	EC
AAFOLC_00025	EC=6.1.1.21
AAFOLC_00255	EC=1.1.1.94
AAFOLC_00265	EC=2.4.1.213
AAFOLC_00285	EC=3.6.3.20
AAFOLC_00300	EC=4.2.1.104
AAFOLC_00305	EC=3.6.3.36
AAFOLC_00360	EC=2.4.2.19
AAFOLC_00365	EC=1.4.3.16
AAFOLC_00370	EC=2.5.1.72
AAFOLC_00390	EC=1.6.1.2
AAFOLC_00400	EC=1.6.1.2
AAFOLC_00470	EC=3.6.3.17
AAFOLC_00475	EC=6.1.1.20
AAFOLC_00480	EC=6.1.1.20
AAFOLC_00495	EC=6.1.1.14
AAFOLC_00505	EC=6.1.1.14
AAFOLC_00595	EC=2.1.1.72
AAFOLC_00640	EC=4.2.1.33
AAFOLC_00660	EC=4.2.1.33
AAFOLC_00675	EC=1.1.1.95
AAFOLC_00710	EC=1.3.1.86
AAFOLC_00805	EC=1.1.1.35
AAFOLC_00835	EC=6.3.4.5
AAFOLC_00875	EC=6.1.1.5
AAFOLC_00925	EC=3.6.3.42
AAFOLC_00935	EC=3.1.26.5
AAFOLC_00955	EC=2.3.1.37
AAFOLC_00975	EC=1.1.1.100
AAFOLC_00985	EC=2.5.1.44
AAFOLC_01065	EC=5.1.3.2
AAFOLC_01125	EC=4.1.1.4
AAFOLC_01185	EC=3.6.3.14
AAFOLC_01195	EC=3.6.3.14
AAFOLC_01205	EC=3.4.21.102
AAFOLC_01260	EC=2.1.1.177
AAFOLC_01270	EC=2.7.7.18
AAFOLC_01275	EC=1.2.1.41
AAFOLC_01285	EC=2.7.2.11
AAFOLC_01315	EC=3.1.1.29
AAFOLC_01350	EC=2.7.4.6
AAFOLC_01380	EC=6.3.3.1
AAFOLC_01445	EC=5.1.1.7
AAFOLC_01495	EC=3.5.4.25
AAFOLC_01580	EC=3.1.2.6
AAFOLC_01595	EC=2.3.1.31
AAFOLC_01620	EC=2.3.1.117
AAFOLC_01710	EC=2.1.1.72
AAFOLC_01820	EC=3.6.3.25
AAFOLC_01865	EC=1.1.2.4
AAFOLC_01870	EC=3.6.3.17
AAFOLC_01945	EC=1.1.1.35
AAFOLC_01975	EC=2.7.13.3
AAFOLC_02010	EC=1.8.1.4
