locus_tag	EC
AAFOLC_00010	EC=2.7.7.7
AAFOLC_00025	EC=6.1.1.21
AAFOLC_00030	EC=5.4.2.2
AAFOLC_00040	EC=3.4.23.43
AAFOLC_00045	EC=3.4.11.1
AAFOLC_00055	EC=2.7.7.65
AAFOLC_00080	EC=2.7.11.1
AAFOLC_00085	EC=3.1.6.1
AAFOLC_00130	EC=2.7.7.87
AAFOLC_00140	EC=5.2.1.8
AAFOLC_00185	EC=2.2.1.6
AAFOLC_00200	EC=2.6.1.113;EC=2.6.1.77
AAFOLC_00205	EC=2.3.2.2
AAFOLC_00215	EC=3.2.2.1
AAFOLC_00225	EC=3.6.3.36
AAFOLC_00260	EC=3.1.3.79
AAFOLC_00265	EC=2.4.1.213
AAFOLC_00270	EC=3.2.1.17
AAFOLC_00280	EC=3.6.3.24
AAFOLC_00285	EC=7.6.2.10
AAFOLC_00290	EC=3.1.6.1
AAFOLC_00295	EC=2.3.1.193
AAFOLC_00300	EC=4.2.1.104
AAFOLC_00305	EC=3.6.3.36
AAFOLC_00320	EC=1.18.1.3;EC=1.18.1.5
AAFOLC_00325	EC=5.99.1.4
AAFOLC_00330	EC=2.8.1.1
AAFOLC_00350	EC=1.1.1.1
AAFOLC_00355	EC=3.4.17.13
AAFOLC_00360	EC=2.4.2.19
AAFOLC_00365	EC=1.4.3.16
AAFOLC_00370	EC=2.5.1.72
AAFOLC_00390	EC=7.1.1.1
AAFOLC_00395	EC=7.1.1.1
AAFOLC_00400	EC=1.6.1.2
AAFOLC_00405	EC=1.9.3.1
AAFOLC_00410	EC=4.1.99.14
AAFOLC_00415	EC=3.1.1.31;EC=4.4.1.5
AAFOLC_00425	EC=2.7.1.107
AAFOLC_00445	EC=6.3.1.11
AAFOLC_00475	EC=6.1.1.20
AAFOLC_00480	EC=6.1.1.20
AAFOLC_00485	EC=3.1.26.5
AAFOLC_00495	EC=6.1.1.14
AAFOLC_00505	EC=6.1.1.14
AAFOLC_00525	EC=3.1.26.11
AAFOLC_00530	EC=2.5.1.18
AAFOLC_00540	EC=1.8.1.8
AAFOLC_00545	EC=1.11.1.15;EC=1.8.1.8
AAFOLC_00550	EC=2.7.7.6
AAFOLC_00570	EC=3.6.3.14
AAFOLC_00575	EC=1.8.2.3
AAFOLC_00590	EC=3.2.2.31
AAFOLC_00595	EC=2.1.1.72
AAFOLC_00610	EC=1.1.1.60
AAFOLC_00620	EC=2.1.1.185
AAFOLC_00640	EC=4.2.1.33
AAFOLC_00660	EC=4.2.1.33
AAFOLC_00670	EC=2.6.1.52
AAFOLC_00675	EC=1.1.1.95
AAFOLC_00685	EC=3.4.23.43
AAFOLC_00690	EC=1.6.5.11
AAFOLC_00700	EC=5.4.99.2
AAFOLC_00710	EC=1.3.1.85
AAFOLC_00720	EC=5.4.99.23
AAFOLC_00725	EC=2.7.7.6
AAFOLC_00750	EC=3.1.3.48
AAFOLC_00760	EC=1.1.1.-
AAFOLC_00770	EC=4.2.1.9
AAFOLC_00780	EC=3.6.3.25
AAFOLC_00805	EC=1.1.1.100;EC=1.1.1.35
AAFOLC_00815	EC=1.1.1.1
AAFOLC_00825	EC=3.6.3.3
AAFOLC_00835	EC=6.3.4.5
AAFOLC_00840	EC=3.6.1.27
AAFOLC_00845	EC=5.99.1.4
AAFOLC_00850	EC=5.2.1.8
AAFOLC_00855	EC=3.4.24.64
AAFOLC_00860	EC=3.4.24.55
AAFOLC_00870	EC=3.4.23.36
AAFOLC_00875	EC=6.1.1.5
AAFOLC_00880	EC=2.7.1.69
AAFOLC_00890	EC=3.1.2.2;EC=3.1.2.27
AAFOLC_00920	EC=3.4.16.4
AAFOLC_00925	EC=7.5.2.3
AAFOLC_00935	EC=3.1.26.5
AAFOLC_00940	EC=1.14.18.3
AAFOLC_00955	EC=2.3.1.37
AAFOLC_00965	EC=4.1.1.17
AAFOLC_00975	EC=1.1.1.100
AAFOLC_00985	EC=2.5.1.44
AAFOLC_00990	EC=3.1.1.75
AAFOLC_01000	EC=1.8.1.8
AAFOLC_01005	EC=1.8.1.8
AAFOLC_01020	EC=4.1.2.17
AAFOLC_01030	EC=2.7.7.75
AAFOLC_01045	EC=1.2.7.8
AAFOLC_01060	EC=2.7.7.9
AAFOLC_01065	EC=5.1.3.2
AAFOLC_01085	EC=3.6.1.27
AAFOLC_01090	EC=3.5.2.6
AAFOLC_01100	EC=4.2.2.n1
AAFOLC_01110	EC=3.1.4.53
AAFOLC_01115	EC=2.7.1.69
AAFOLC_01125	EC=4.1.1.4
AAFOLC_01135	EC=3.6.4.13
AAFOLC_01140	EC=3.1.2.20
AAFOLC_01160	EC=3.6.1.55
AAFOLC_01175	EC=3.6.3.14
AAFOLC_01185	EC=7.1.2.2
AAFOLC_01190	EC=3.6.3.14
AAFOLC_01195	EC=7.1.2.2
AAFOLC_01205	EC=3.4.21.102
AAFOLC_01240	EC=3.6.3.24
AAFOLC_01250	EC=5.4.99.5
AAFOLC_01260	EC=2.1.1.177
AAFOLC_01270	EC=2.7.7.18
AAFOLC_01275	EC=1.2.1.41
AAFOLC_01285	EC=2.7.2.11
AAFOLC_01290	EC=3.6.5.-
AAFOLC_01295	EC=4.1.1.45;EC=4.1.3.6
AAFOLC_01315	EC=3.1.1.29
AAFOLC_01340	EC=1.1.1.122;EC=1.1.1.65;EC=1.1.1.91
AAFOLC_01350	EC=2.7.4.6
AAFOLC_01375	EC=2.1.2.2
AAFOLC_01380	EC=6.3.3.1
AAFOLC_01395	EC=3.2.1.8
AAFOLC_01420	EC=4.1.2.50
AAFOLC_01445	EC=5.1.1.7
AAFOLC_01455	EC=1.4.1.13
AAFOLC_01490	EC=1.1.1.302
AAFOLC_01495	EC=3.5.4.25
AAFOLC_01505	EC=1.6.5.5
AAFOLC_01515	EC=3.1.4.58
AAFOLC_01520	EC=3.4.16.4
AAFOLC_01525	EC=3.1.21.2;EC=4.2.1.44;EC=5.1.3.22
AAFOLC_01530	EC=6.3.5.2
AAFOLC_01560	EC=2.7.13.3
AAFOLC_01580	EC=3.1.2.6
AAFOLC_01585	EC=2.7.7.7
AAFOLC_01595	EC=2.3.1.31
AAFOLC_01600	EC=3.6.4.13
AAFOLC_01620	EC=2.3.1.117
AAFOLC_01695	EC=2.7.7.66
AAFOLC_01705	EC=3.1.21.3
AAFOLC_01710	EC=2.1.1.72
AAFOLC_01720	EC=3.4.21.89
AAFOLC_01740	EC=2.7.13.3
AAFOLC_01750	EC=6.1.1.14
AAFOLC_01805	EC=3.5.2.14
AAFOLC_01810	EC=3.5.2.14
AAFOLC_01820	EC=3.6.3.36
AAFOLC_01835	EC=4.2.1.1
AAFOLC_01840	EC=4.1.2.25
AAFOLC_01845	EC=1.3.1.32
AAFOLC_01855	EC=1.1.1.291
AAFOLC_01860	EC=1.13.11.1;EC=1.13.11.37
AAFOLC_01865	EC=1.1.2.4
AAFOLC_01870	EC=3.6.3.17;EC=7.5.2.7
AAFOLC_01875	EC=3.6.3.17
AAFOLC_01880	EC=3.6.3.17
AAFOLC_01885	EC=1.1.1.205;EC=3.6.3.17
AAFOLC_01900	EC=1.6.5.2;EC=1.7.1.6
AAFOLC_01920	EC=2.8.3.6
AAFOLC_01925	EC=2.8.3.6
AAFOLC_01930	EC=2.8.3.6
AAFOLC_01945	EC=1.1.1.35
AAFOLC_01955	EC=2.7.1.180
AAFOLC_01975	EC=2.7.13.3
AAFOLC_02010	EC=1.8.1.4
AAFOLC_02015	EC=2.3.1.12
AAFOLC_02020	EC=1.2.4.1
AAFOLC_02045	EC=5.99.1.4
AAFOLC_02055	EC=6.3.5.2
AAFOLC_02095	EC=3.6.1.15;EC=3.6.1.3;EC=3.6.3.25;EC=3.6.3.28;EC=3.6.3.30
AAFOLC_02100	EC=3.6.3.25
AAFOLC_02105	EC=1.6.5.11
AAFOLC_02115	EC=6.2.1.30
AAFOLC_02120	EC=3.6.3.25
AAFOLC_02145	EC=3.6.3.25
AAFOLC_02170	EC=2.7.7.7
AAFOLC_02195	EC=2.7.7.7
AAFOLC_02205	EC=2.7.13.3
AAFOLC_02230	EC=3.6.1.3;EC=3.6.3.41
AAFOLC_02265	EC=5.6.2.2
AAFOLC_02270	EC=1.2.1.3
AAFOLC_02280	EC=6.2.1.3
AAFOLC_02295	EC=3.5.1.18
AAFOLC_02320	EC=1.2.1.27
AAFOLC_02325	EC=1.3.1.95
AAFOLC_02330	EC=1.1.1.31
AAFOLC_02340	EC=3.4.23.43
AAFOLC_02365	EC=2.1.1.17
AAFOLC_02370	EC=2.8.1.13
AAFOLC_02375	EC=3.1.22.4
AAFOLC_02380	EC=1.11.1.15;EC=1.8.1.8;EC=1.8.3.2;EC=5.3.4.1
AAFOLC_02405	EC=6.5.1.1
AAFOLC_02415	EC=1.3.1.9
AAFOLC_02420	EC=2.3.1.41
AAFOLC_02425	EC=4.2.1.59;EC=5.3.3.14
AAFOLC_02435	EC=1.3.5.2
AAFOLC_02440	EC=2.4.2.10
AAFOLC_02450	EC=2.1.2.10
AAFOLC_02465	EC=1.4.4.2
AAFOLC_02470	EC=1.4.4.2
AAFOLC_02475	EC=2.7.1.130
AAFOLC_02480	EC=5.1.3.32
AAFOLC_02490	EC=6.5.1.2
AAFOLC_02500	EC=6.1.1.3
AAFOLC_02505	EC=1.12.99.6
AAFOLC_02510	EC=1.12.99.6
AAFOLC_02520	EC=3.4.23.51
AAFOLC_02540	EC=1.14.13.25;EC=2.7.7.12
AAFOLC_02545	EC=4.2.1.113
AAFOLC_02580	EC=4.2.1.-
AAFOLC_02595	EC=1.1.1.100
AAFOLC_02605	EC=3.6.3.19
AAFOLC_02610	EC=3.6.3.24
AAFOLC_02625	EC=3.4.11.5
AAFOLC_02635	EC=2.7.1.39
AAFOLC_02645	EC=6.4.1.6
AAFOLC_02650	EC=6.4.1.6
AAFOLC_02655	EC=3.5.2.14
AAFOLC_02675	EC=2.7.7.8
AAFOLC_02685	EC=3.1.11.2
AAFOLC_02695	EC=3.6.1.3
AAFOLC_02700	EC=2.6.1.17
AAFOLC_02705	EC=2.7.1.26;EC=2.7.7.2
AAFOLC_02710	EC=3.1.3.5
AAFOLC_02715	EC=6.3.2.9
AAFOLC_02725	EC=2.7.8.13
AAFOLC_02730	EC=6.3.2.10
AAFOLC_02735	EC=6.3.2.13
AAFOLC_02745	EC=2.7.13.3
AAFOLC_02750	EC=2.1.1.199
AAFOLC_02755	EC=2.4.99.17
AAFOLC_02765	EC=3.5.1.28
AAFOLC_02770	EC=5.3.1.13
AAFOLC_02780	EC=3.1.2.6
AAFOLC_02800	EC=3.6.3.28
AAFOLC_02805	EC=3.1.1.2
AAFOLC_02830	EC=6.4.1.4
AAFOLC_02835	EC=4.2.1.17
AAFOLC_02840	EC=6.4.1.4
AAFOLC_02845	EC=4.1.3.4
AAFOLC_02850	EC=5.2.1.8
AAFOLC_02875	EC=1.3.98.3
AAFOLC_02885	EC=2.7.13.3
AAFOLC_02900	EC=6.2.1.5
AAFOLC_02905	EC=3.1.4.52
AAFOLC_02910	EC=4.1.1.20
AAFOLC_02920	EC=4.3.2.1
AAFOLC_02925	EC=1.11.1.15
AAFOLC_02930	EC=5.1.3.14
AAFOLC_02950	EC=2.1.2.3;EC=3.5.4.10
AAFOLC_02960	EC=2.1.1.176
AAFOLC_02965	EC=6.3.4.4
AAFOLC_02980	EC=3.4.24.-
AAFOLC_02990	EC=4.2.1.147
AAFOLC_03020	EC=3.6.3.25
AAFOLC_03050	EC=1.9.3.1
AAFOLC_03055	EC=1.1.2.7
AAFOLC_03060	EC=3.1.2.6;EC=3.5.2.6
AAFOLC_03090	EC=3.5.4.27
AAFOLC_03110	EC=1.9.3.1
AAFOLC_03120	EC=2.3.1.101
AAFOLC_03125	EC=1.2.7.12;EC=1.2.99.5
AAFOLC_03145	EC=1.21.98.4
AAFOLC_03150	EC=1.3.3.11
AAFOLC_03155	EC=1.3.3.11
AAFOLC_03175	EC=2.7.13.3
AAFOLC_03180	EC=5.2.1.8
AAFOLC_03190	EC=3.6.1.27
AAFOLC_03200	EC=1.17.99.6
AAFOLC_03205	EC=2.8.4.3
AAFOLC_03210	EC=3.6.4.12
AAFOLC_03215	EC=3.1.-.-
AAFOLC_03225	EC=2.3.1.269
AAFOLC_03235	EC=2.5.1.6
AAFOLC_03240	EC=2.1.1.33
AAFOLC_03250	EC=2.3.1.51
AAFOLC_03265	EC=2.3.1.234;EC=3.4.24.57
AAFOLC_03275	EC=3.6.4.-
AAFOLC_03285	EC=4.1.1.37
AAFOLC_03290	EC=2.7.11.32;EC=2.7.4.27
AAFOLC_03295	EC=3.6.1.9
AAFOLC_03300	EC=1.1.1.25
AAFOLC_03305	EC=2.7.1.24
AAFOLC_03310	EC=2.7.7.7
AAFOLC_03315	EC=2.7.4.9
AAFOLC_03320	EC=3.6.-.-
AAFOLC_03330	EC=2.1.1.170
AAFOLC_03335	EC=2.7.10.2;EC=6.3.3.3
AAFOLC_03345	EC=2.7.11.1
AAFOLC_03350	EC=5.4.99.23;EC=5.4.99.24;EC=5.4.99.26;EC=5.4.99.28;EC=5.4.99.29
AAFOLC_03355	EC=3.1.1.106
AAFOLC_03365	EC=1.1.1.30
AAFOLC_03380	EC=1.17.7.3
AAFOLC_03395	EC=4.6.1.1
AAFOLC_03405	EC=2.7.7.65
AAFOLC_03415	EC=3.5.2.6
AAFOLC_03420	EC=6.3.4.20
AAFOLC_03435	EC=6.6.1.2
AAFOLC_03440	EC=6.6.1.2
AAFOLC_03445	EC=3.4.21.107
AAFOLC_03450	EC=2.7.13.3
AAFOLC_03465	EC=2.4.1.129
AAFOLC_03470	EC=2.4.1.227
AAFOLC_03475	EC=6.3.2.8
AAFOLC_03485	EC=5.6.2.2
AAFOLC_03490	EC=3.1.3.48
AAFOLC_03515	EC=3.4.24.75
AAFOLC_03545	EC=1.1.1.100
