## Wed Jan 24 14:51:26 2024
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_0go7jflx --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_0go7jflx --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_0go7jflx/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype genome --genepred prodigal --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
Xanthobacter_chromosome_1	1131814.JAFO01000001_gene124	5.59e-265	735.0	COG0593@1|root,COG0593@2|Bacteria,1MU5H@1224|Proteobacteria,2TT03@28211|Alphaproteobacteria,3EYKH@335928|Xanthobacteraceae	28211|Alphaproteobacteria	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids	dnaA	GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0034641,GO:0034645,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901576,GO:1990837	-	ko:K02313	ko02020,ko04112,map02020,map04112	-	-	-	ko00000,ko00001,ko03032,ko03036	-	-	-	Bac_DnaA,Bac_DnaA_C,DnaA_N
Xanthobacter_chromosome_2	78245.Xaut_0002	2.48e-238	659.0	COG0592@1|root,COG0592@2|Bacteria,1MVD9@1224|Proteobacteria,2TSRZ@28211|Alphaproteobacteria,3EY36@335928|Xanthobacteraceae	28211|Alphaproteobacteria	L	Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria	dnaN	-	2.7.7.7	ko:K02338	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	DNA_pol3_beta,DNA_pol3_beta_2,DNA_pol3_beta_3
Xanthobacter_chromosome_3	1131814.JAFO01000001_gene122	3.96e-182	518.0	COG1195@1|root,COG1195@2|Bacteria,1MX8N@1224|Proteobacteria,2TQRD@28211|Alphaproteobacteria,3EZ0T@335928|Xanthobacteraceae	28211|Alphaproteobacteria	L	it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP	recF	-	-	ko:K03629	ko03440,map03440	-	-	-	ko00000,ko00001,ko03400	-	-	-	AAA_21,AAA_23,SMC_N
Xanthobacter_chromosome_4	78245.Xaut_1215	4.97e-117	339.0	COG1376@1|root,COG1376@2|Bacteria,1QRNE@1224|Proteobacteria,2TR74@28211|Alphaproteobacteria,3F274@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	L,D-transpeptidase catalytic domain	-	-	-	-	-	-	-	-	-	-	-	-	YkuD
Xanthobacter_chromosome_5	78245.Xaut_1216	2.08e-310	852.0	COG0124@1|root,COG0124@2|Bacteria,1MV2K@1224|Proteobacteria,2TSTH@28211|Alphaproteobacteria,3EYES@335928|Xanthobacteraceae	28211|Alphaproteobacteria	J	PFAM tRNA synthetase class II (G H P and S)	hisS	-	6.1.1.21	ko:K01892	ko00970,map00970	M00359,M00360	R03655	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	HGTP_anticodon,tRNA-synt_His
Xanthobacter_chromosome_6	1131814.JAFO01000001_gene145	0.0	951.0	COG1109@1|root,COG1109@2|Bacteria,1MUA5@1224|Proteobacteria,2TRIJ@28211|Alphaproteobacteria,3EZU1@335928|Xanthobacteraceae	28211|Alphaproteobacteria	G	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III	algC	-	5.4.2.2,5.4.2.8	ko:K01840,ko:K15778	ko00010,ko00030,ko00051,ko00052,ko00230,ko00500,ko00520,ko00521,ko01100,ko01110,ko01120,ko01130,map00010,map00030,map00051,map00052,map00230,map00500,map00520,map00521,map01100,map01110,map01120,map01130	M00114	R00959,R01057,R01818,R08639	RC00408	ko00000,ko00001,ko00002,ko01000	-	-	-	PGM_PMM_I,PGM_PMM_II,PGM_PMM_III,PGM_PMM_IV
Xanthobacter_chromosome_7	1131814.JAFO01000001_gene4111	7.64e-19	78.2	COG3847@1|root,COG3847@2|Bacteria,1Q5Z1@1224|Proteobacteria,2V6SR@28211|Alphaproteobacteria,3F21G@335928|Xanthobacteraceae	28211|Alphaproteobacteria	U	Flp/Fap pilin component	-	-	-	ko:K02651	ko04112,map04112	-	-	-	ko00000,ko00001,ko02035,ko02044	-	-	-	Flp_Fap
Xanthobacter_chromosome_8	78245.Xaut_0282	3.1e-56	180.0	COG4960@1|root,COG4960@2|Bacteria,1NGHX@1224|Proteobacteria,2V6Q2@28211|Alphaproteobacteria,3F1TV@335928|Xanthobacteraceae	28211|Alphaproteobacteria	OU	Type IV leader peptidase family	-	-	3.4.23.43	ko:K02278	-	-	-	-	ko00000,ko01000,ko02035,ko02044	-	-	-	Peptidase_A24
Xanthobacter_chromosome_9	78245.Xaut_0281	5.52e-244	680.0	COG0260@1|root,COG0260@2|Bacteria,1MUIN@1224|Proteobacteria,2TSI6@28211|Alphaproteobacteria,3EYZ8@335928|Xanthobacteraceae	28211|Alphaproteobacteria	E	Cytosol aminopeptidase family, catalytic domain	pepA	-	3.4.11.1	ko:K01255	ko00480,ko01100,map00480,map01100	-	R00899,R04951	RC00096,RC00141	ko00000,ko00001,ko01000,ko01002	-	-	-	Peptidase_M17
Xanthobacter_chromosome_10	78245.Xaut_0280	1.46e-131	381.0	COG0791@1|root,COG0791@2|Bacteria,1MW03@1224|Proteobacteria,2TSFG@28211|Alphaproteobacteria,3EZ1C@335928|Xanthobacteraceae	28211|Alphaproteobacteria	M	NlpC/P60 family	-	-	-	-	-	-	-	-	-	-	-	-	NLPC_P60,SH3_3
